jfid;valtip;maz;taz;sorsz;a;b;bo;c;d;e;f;g;i1;i2;i3;j;o;k1;k2;l;m;n;pa;pf;po;pk;pl;pm;pn;na;nf;no;nk;nl;nm;nn
42505;'J';'01';'001';'001';1001;0;0;0;0;1001;845;0;0;0;0;845;0;843;0;-2;5;838;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42506;'L';'01';'001';'001';1001;0;0;0;0;1001;845;0;0;0;0;845;0;844;0;0;7;837;1000;844;0;843;-1;7;836;1;1;0;1;0;0;1
42507;'J';'01';'001';'002';976;0;0;0;0;976;796;0;0;0;0;796;0;793;0;-3;7;786;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42508;'L';'01';'001';'002';976;0;0;0;0;976;796;0;0;0;0;796;0;796;0;0;4;792;976;796;0;796;0;4;792;0;0;0;0;0;0;0
42509;'J';'01';'001';'003';1030;0;1595;0;0;1030;677;1513;1504;0;0;677;0;675;0;-2;5;670;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42510;'L';'01';'001';'003';1030;0;1595;0;0;1030;677;1513;1504;0;0;677;0;678;0;0;16;662;1028;675;0;676;1;16;660;2;2;0;2;0;0;2
42511;'J';'01';'001';'004';946;0;0;0;0;946;722;0;0;0;0;722;0;720;0;-2;12;708;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42512;'L';'01';'001';'004';946;0;0;0;0;946;722;0;0;0;0;722;0;721;0;0;8;713;946;722;0;721;-1;8;713;0;0;0;0;0;0;0
42513;'J';'01';'001';'005';917;0;0;0;0;917;740;0;0;0;0;740;1;739;0;-1;7;732;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42514;'L';'01';'001';'005';917;0;0;0;0;917;740;0;0;0;0;740;0;740;0;0;6;734;915;739;0;739;0;6;733;2;1;0;1;0;0;1
42515;'J';'01';'001';'006';1007;0;0;0;0;1007;822;0;0;0;0;822;0;819;0;-3;6;813;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42516;'L';'01';'001';'006';1007;0;0;0;0;1007;822;0;0;0;0;822;0;821;0;0;2;819;1006;821;0;820;-1;2;818;1;1;0;1;0;0;1
42517;'J';'01';'001';'007';917;0;0;0;0;917;727;0;0;0;0;727;0;725;0;-2;7;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42518;'L';'01';'001';'007';917;0;0;0;0;917;727;0;0;0;0;727;0;727;0;0;3;724;914;725;0;725;0;3;722;3;2;0;2;0;0;2
42519;'J';'01';'001';'008';886;0;0;0;0;886;711;0;0;0;0;711;0;710;0;-1;4;706;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42520;'L';'01';'001';'008';886;0;0;0;0;886;711;0;0;0;0;711;0;711;0;0;2;709;885;710;0;710;0;2;708;1;1;0;1;0;0;1
42521;'J';'01';'001';'009';1030;0;0;0;0;1030;822;0;0;0;0;822;0;821;0;-1;9;812;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42522;'L';'01';'001';'009';1029;0;0;0;0;1029;822;0;0;0;0;822;0;821;0;0;10;811;1029;822;0;821;-1;10;811;0;0;0;0;0;0;0
42523;'J';'01';'001';'010';934;0;0;0;0;934;761;0;0;0;0;761;0;761;0;0;3;758;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42524;'L';'01';'001';'010';934;0;0;0;0;934;761;0;0;0;0;761;0;760;0;0;1;759;934;761;0;760;-1;1;759;0;0;0;0;0;0;0
42525;'J';'01';'001';'011';979;0;0;0;0;979;802;0;0;0;0;802;0;800;0;-2;7;793;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42526;'L';'01';'001';'011';979;0;0;0;0;979;802;0;0;0;0;802;0;802;0;0;14;788;976;800;0;801;1;14;787;3;2;0;1;0;0;1
49549;'J';'01';'001';'012';1026;0;0;0;0;1026;815;0;0;0;0;815;1;814;0;-1;7;807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49550;'L';'01';'001';'012';1026;0;0;0;0;1026;815;0;0;0;0;815;0;814;0;0;4;810;1021;810;0;810;0;4;806;5;5;0;4;0;0;4
49551;'J';'01';'001';'013';1074;0;0;0;0;1074;857;0;0;0;0;857;3;853;0;-4;8;845;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49552;'L';'01';'001';'013';1074;0;0;0;0;1074;857;0;0;0;0;857;0;856;0;0;5;851;1072;855;0;854;-1;5;849;2;2;0;2;0;0;2
49553;'J';'01';'001';'014';987;0;0;0;0;987;799;0;0;0;0;799;0;799;0;0;8;791;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49554;'L';'01';'001';'014';987;0;0;0;0;987;799;0;0;0;0;799;0;799;0;0;5;794;987;799;0;799;0;5;794;0;0;0;0;0;0;0
49555;'J';'01';'001';'015';964;0;0;0;0;964;764;0;0;0;0;764;0;764;0;0;3;761;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49556;'L';'01';'001';'015';964;0;0;0;0;964;764;0;0;0;0;764;0;764;0;0;5;759;963;763;0;763;0;5;758;1;1;0;1;0;0;1
49557;'J';'01';'001';'016';910;0;0;0;0;910;756;0;0;0;0;756;1;756;0;0;7;749;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49558;'L';'01';'001';'016';910;0;0;0;0;910;756;0;0;0;0;756;0;756;0;0;2;754;907;754;0;754;0;2;752;3;2;0;2;0;0;2
49559;'J';'01';'001';'017';1036;0;0;0;0;1036;827;0;0;0;0;827;0;827;0;0;6;821;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49560;'L';'01';'001';'017';1036;0;0;0;0;1036;827;0;0;0;0;827;0;826;0;0;3;823;1036;827;0;826;-1;3;823;0;0;0;0;0;0;0
49561;'J';'01';'001';'018';1023;0;0;0;0;1023;818;0;0;0;0;818;0;810;0;-8;2;808;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49562;'L';'01';'001';'018';1023;0;0;0;0;1023;818;0;0;0;0;818;0;816;0;0;1;815;1021;818;0;816;-2;1;815;2;0;0;0;0;0;0
49563;'J';'01';'001';'019';981;0;0;0;0;981;786;0;0;0;0;786;0;785;0;-1;5;780;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49564;'L';'01';'001';'019';981;0;0;0;0;981;786;0;0;0;0;786;0;786;0;0;3;783;979;786;0;786;0;3;783;2;0;0;0;0;0;0
49565;'J';'01';'001';'020';937;0;0;0;0;937;747;0;0;0;0;747;0;745;0;-2;8;737;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49566;'L';'01';'001';'020';937;0;0;0;0;937;747;0;0;0;0;747;0;747;0;0;3;744;935;745;0;745;0;3;742;2;2;0;2;0;0;2
49567;'J';'01';'002';'001';1072;0;0;0;0;1072;845;0;0;0;0;845;0;844;0;-1;7;837;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49568;'L';'01';'002';'001';1072;0;0;0;0;1072;845;0;0;0;0;845;0;845;0;0;5;840;1070;844;0;844;0;5;839;2;1;0;1;0;0;1
49569;'J';'01';'002';'002';932;0;0;0;0;932;725;0;0;0;0;725;0;725;0;0;2;723;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49570;'L';'01';'002';'002';932;0;0;0;0;932;725;0;0;0;0;725;0;724;0;0;0;724;931;724;0;723;-1;0;723;1;1;0;1;0;0;1
49571;'J';'01';'002';'003';660;0;0;0;0;660;510;0;0;0;0;510;0;510;0;0;2;508;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49572;'L';'01';'002';'003';660;0;0;0;0;660;510;0;0;0;0;510;0;509;0;0;1;508;658;508;0;508;0;1;507;2;2;0;1;0;0;1
49573;'J';'01';'002';'004';1008;0;0;0;0;1008;782;0;0;0;0;782;0;782;0;0;4;778;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49574;'L';'01';'002';'004';1008;0;0;0;0;1008;782;0;0;0;0;782;0;782;0;0;3;779;1006;781;0;781;0;3;778;2;1;0;1;0;0;1
49575;'J';'01';'002';'005';1070;0;0;0;0;1070;858;0;0;0;0;858;0;858;0;0;7;851;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49576;'L';'01';'002';'005';1070;0;0;0;0;1070;858;0;0;0;0;858;0;858;0;0;6;852;1068;857;0;857;0;6;851;2;1;0;1;0;0;1
49577;'J';'01';'002';'006';899;0;0;0;0;899;744;0;0;0;0;744;0;743;0;-1;4;739;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49578;'L';'01';'002';'006';899;0;0;0;0;899;744;0;0;0;0;744;0;743;0;0;3;740;899;744;0;743;-1;3;740;0;0;0;0;0;0;0
49579;'J';'01';'002';'007';811;0;0;0;0;811;688;0;0;0;0;688;0;686;0;-2;0;686;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49580;'L';'01';'002';'007';811;0;0;0;0;811;688;0;0;0;0;688;0;688;0;0;1;687;811;688;0;688;0;1;687;0;0;0;0;0;0;0
49581;'J';'01';'002';'008';908;0;0;0;0;908;748;0;0;0;0;748;0;748;0;0;2;746;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49582;'L';'01';'002';'008';908;0;0;0;0;908;748;0;0;0;0;748;0;748;0;0;0;748;906;746;0;746;0;0;746;2;2;0;2;0;0;2
49583;'J';'01';'002';'009';837;0;0;0;0;837;685;0;0;0;0;685;1;684;0;-1;5;679;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49584;'L';'01';'002';'009';837;0;0;0;0;837;685;0;0;0;0;685;1;684;0;0;5;679;837;685;1;684;-1;5;679;0;0;0;0;0;0;0
49585;'J';'01';'002';'010';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49586;'L';'01';'002';'010';0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49587;'J';'01';'002';'011';896;0;3916;0;0;896;525;3637;3620;0;0;525;0;522;0;-3;4;518;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49588;'L';'01';'002';'011';896;0;3916;0;0;896;525;3637;3620;0;0;525;0;532;0;0;61;471;893;522;0;529;7;61;468;3;3;0;3;0;0;3
49589;'J';'01';'002';'012';998;0;0;0;0;998;850;0;0;0;0;850;0;847;0;-3;6;841;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49590;'L';'01';'002';'012';998;0;0;0;0;998;850;0;0;0;0;850;0;848;0;0;6;842;997;849;0;847;-2;6;841;1;1;0;1;0;0;1
49591;'J';'01';'002';'013';670;0;0;0;0;670;542;0;0;0;0;542;0;542;0;0;3;539;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49592;'L';'01';'002';'013';670;0;0;0;0;670;542;0;0;0;0;542;0;541;0;0;2;539;667;541;0;540;-1;2;538;3;1;0;1;0;0;1
49593;'J';'01';'002';'014';862;0;0;0;0;862;686;0;0;0;0;686;2;684;0;-2;5;679;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49594;'L';'01';'002';'014';862;0;0;0;0;862;686;0;0;0;0;686;0;686;0;0;3;683;861;685;0;685;0;3;682;1;1;0;1;0;0;1
49595;'J';'01';'002';'015';774;0;0;0;0;774;655;0;0;0;0;655;2;651;0;-4;4;647;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49596;'L';'01';'002';'015';774;0;0;0;0;774;655;0;0;0;0;655;1;654;0;0;3;651;774;655;1;654;-1;3;651;0;0;0;0;0;0;0
49597;'J';'01';'002';'016';886;0;0;0;0;886;736;0;0;0;0;736;0;735;0;-1;1;734;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49598;'L';'01';'002';'016';886;0;0;0;0;886;736;0;0;0;0;736;0;736;0;0;1;735;884;734;0;734;0;1;733;2;2;0;2;0;0;2
49599;'J';'01';'002';'017';835;0;0;0;0;835;701;0;0;0;0;701;0;701;0;0;5;696;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49600;'L';'01';'002';'017';835;0;0;0;0;835;701;0;0;0;0;701;0;701;0;0;4;697;835;701;0;701;0;4;697;0;0;0;0;0;0;0
49601;'J';'01';'002';'018';764;0;0;0;0;764;641;0;0;0;0;641;0;641;0;0;4;637;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49602;'L';'01';'002';'018';764;0;0;0;0;764;641;0;0;0;0;641;0;641;0;0;5;636;764;641;0;641;0;5;636;0;0;0;0;0;0;0
49603;'J';'01';'002';'019';834;0;0;0;0;834;694;0;0;0;0;694;0;694;0;0;4;690;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49604;'L';'01';'002';'019';834;0;0;0;0;834;694;0;0;0;0;694;0;694;0;0;3;691;832;692;0;692;0;3;689;2;2;0;2;0;0;2
49605;'J';'01';'002';'020';819;0;0;0;0;819;678;0;0;0;0;678;1;673;0;-5;2;671;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49606;'L';'01';'002';'020';819;0;0;0;0;819;678;0;0;0;0;678;1;676;0;0;2;674;818;677;1;675;-2;2;673;1;1;0;1;0;0;1
49607;'J';'01';'002';'021';865;0;0;0;0;865;678;0;0;0;0;678;0;677;0;-1;3;674;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49608;'L';'01';'002';'021';865;0;0;0;0;865;678;0;0;0;0;678;0;677;0;0;4;673;864;678;0;677;-1;4;673;1;0;0;0;0;0;0
49609;'J';'01';'002';'022';835;0;0;0;0;835;706;0;0;0;0;706;0;706;0;0;4;702;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49610;'L';'01';'002';'022';835;0;0;0;0;835;706;0;0;0;0;706;0;705;0;0;3;702;832;703;0;703;0;3;700;3;3;0;2;0;0;2
49611;'J';'01';'002';'023';882;0;0;0;0;882;749;0;0;0;0;749;1;748;0;-1;1;747;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49612;'L';'01';'002';'023';882;0;0;0;0;882;749;0;0;0;0;749;1;748;0;0;5;743;880;747;1;746;-1;5;741;2;2;0;2;0;0;2
49613;'J';'01';'002';'024';963;0;0;0;0;963;775;0;0;0;0;775;0;775;0;0;3;772;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49614;'L';'01';'002';'024';963;0;0;0;0;963;775;0;0;0;0;775;0;775;0;0;2;773;962;774;0;774;0;2;772;1;1;0;1;0;0;1
49615;'J';'01';'002';'025';820;0;0;0;0;820;679;0;0;0;0;679;0;678;0;-1;2;676;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49616;'L';'01';'002';'025';820;0;0;0;0;820;679;0;0;0;0;679;0;679;0;0;4;675;820;679;0;679;0;4;675;0;0;0;0;0;0;0
49617;'J';'01';'002';'026';865;0;0;0;0;865;762;0;0;0;0;762;0;761;0;-1;3;758;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49618;'L';'01';'002';'026';865;0;0;0;0;865;762;0;0;0;0;762;0;762;0;0;4;758;864;761;0;761;0;4;757;1;1;0;1;0;0;1
49619;'J';'01';'002';'027';759;0;0;0;0;759;612;0;0;0;0;612;0;612;0;0;1;611;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49620;'L';'01';'002';'027';759;0;0;0;0;759;612;0;0;0;0;612;0;612;0;0;2;610;757;610;0;610;0;1;609;2;2;0;2;0;1;1
49621;'J';'01';'002';'028';706;0;0;0;0;706;588;0;0;0;0;588;0;588;0;0;4;584;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49622;'L';'01';'002';'028';706;0;0;0;0;706;588;0;0;0;0;588;0;588;0;0;2;586;705;587;0;587;0;2;585;1;1;0;1;0;0;1
49623;'J';'01';'002';'029';509;0;0;0;0;509;404;0;0;0;0;404;0;404;0;0;0;404;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49624;'L';'01';'002';'029';509;0;0;0;0;509;404;0;0;0;0;404;0;404;0;0;3;401;508;403;0;403;0;2;401;1;1;0;1;0;1;0
49625;'J';'01';'002';'030';606;0;0;0;0;606;486;0;0;0;0;486;1;486;0;0;2;484;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49626;'L';'01';'002';'030';606;0;0;0;0;606;486;0;0;0;0;486;0;485;0;0;1;484;606;486;0;485;-1;1;484;0;0;0;0;0;0;0
49627;'J';'01';'002';'031';1151;0;0;0;0;1151;921;0;0;0;0;921;0;921;0;0;20;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49628;'L';'01';'002';'031';1151;0;0;0;0;1151;921;0;0;0;0;921;0;920;0;0;17;903;1149;919;0;918;-1;17;901;2;2;0;2;0;0;2
49629;'J';'01';'002';'032';948;0;0;0;0;948;783;0;0;0;0;783;0;783;0;0;3;780;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49630;'L';'01';'002';'032';948;0;0;0;0;948;783;0;0;0;0;783;0;783;0;0;1;782;947;782;0;782;0;1;781;1;1;0;1;0;0;1
49631;'J';'01';'002';'033';834;0;0;0;0;834;715;0;0;0;0;715;0;715;0;0;2;713;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49632;'L';'01';'002';'033';833;0;0;0;0;833;715;0;0;0;0;715;0;715;0;0;7;708;828;710;0;710;0;6;704;5;5;0;5;0;1;4
49633;'J';'01';'002';'034';750;0;0;0;0;750;569;0;0;0;0;569;0;568;0;-1;2;566;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49634;'L';'01';'002';'034';750;0;0;0;0;750;569;0;0;0;0;569;0;568;0;0;0;568;749;568;0;567;-1;0;567;1;1;0;1;0;0;1
49635;'J';'01';'002';'035';877;0;0;0;0;877;727;0;0;0;0;727;0;726;0;-1;3;723;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49636;'L';'01';'002';'035';877;0;0;0;0;877;727;0;0;0;0;727;0;727;0;0;3;724;877;727;0;727;0;3;724;0;0;0;0;0;0;0
49637;'J';'01';'002';'036';869;0;0;0;0;869;732;0;0;0;0;732;0;731;0;-1;3;728;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49638;'L';'01';'002';'036';869;0;0;0;0;869;732;0;0;0;0;732;0;719;0;0;2;717;864;728;0;715;-13;2;713;5;4;0;4;0;0;4
49639;'J';'01';'002';'037';864;0;0;0;0;864;720;0;0;0;0;720;1;718;0;-2;9;709;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49640;'L';'01';'002';'037';864;0;0;0;0;864;720;0;0;0;0;720;0;717;0;0;10;707;862;718;0;716;-2;10;706;2;2;0;1;0;0;1
49641;'J';'01';'002';'038';986;0;0;0;0;986;824;0;0;0;0;824;0;823;0;-1;4;819;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49642;'L';'01';'002';'038';986;0;0;0;0;986;824;0;0;0;0;824;0;822;0;0;1;821;983;821;0;820;-1;1;819;3;3;0;2;0;0;2
49643;'J';'01';'002';'039';836;0;0;0;0;836;707;0;0;0;0;707;0;707;0;0;4;703;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49644;'L';'01';'002';'039';836;0;0;0;0;836;707;0;0;0;0;707;0;707;0;0;4;703;833;704;0;704;0;4;700;3;3;0;3;0;0;3
49645;'J';'01';'002';'040';844;0;0;0;0;844;686;0;0;0;0;686;0;685;0;-1;2;683;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49646;'L';'01';'002';'040';844;0;0;0;0;844;686;0;0;0;0;686;0;685;0;0;4;681;840;683;0;682;-1;4;678;4;3;0;3;0;0;3
49647;'J';'01';'002';'041';794;0;0;0;0;794;644;0;0;0;0;644;0;643;0;-1;2;641;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49648;'L';'01';'002';'041';794;0;0;0;0;794;644;0;0;0;0;644;0;644;0;0;3;641;780;634;0;634;0;3;631;14;10;0;10;0;0;10
49649;'J';'01';'002';'042';760;0;0;0;0;760;618;0;0;0;0;618;0;618;0;0;2;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49650;'L';'01';'002';'042';760;0;0;0;0;760;618;0;0;0;0;618;0;618;0;0;2;616;756;614;0;614;0;2;612;4;4;0;4;0;0;4
49651;'J';'01';'002';'043';777;0;0;0;0;777;649;0;0;0;0;649;0;645;0;-4;5;640;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49652;'L';'01';'002';'043';777;0;0;0;0;777;649;0;0;0;0;649;0;647;0;0;5;642;775;647;0;645;-2;4;641;2;2;0;2;0;1;1
49653;'J';'01';'002';'044';910;0;0;0;0;910;791;0;0;0;0;791;0;779;0;-12;2;777;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49654;'L';'01';'002';'044';910;0;0;0;0;910;791;0;0;0;0;791;0;800;0;0;84;716;893;777;0;787;10;84;703;17;14;0;13;0;0;13
49655;'J';'01';'002';'045';861;0;0;0;0;861;693;0;0;0;0;693;0;691;0;-2;3;688;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49656;'L';'01';'002';'045';861;0;0;0;0;861;693;0;0;0;0;693;0;693;0;0;2;691;861;693;0;693;0;2;691;0;0;0;0;0;0;0
49657;'J';'01';'002';'046';906;0;0;0;0;906;775;0;0;0;0;775;0;774;0;-1;4;770;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49658;'L';'01';'002';'046';906;0;0;0;0;906;775;0;0;0;0;775;0;775;0;0;2;773;899;768;0;768;0;2;766;7;7;0;7;0;0;7
49659;'J';'01';'002';'047';888;0;0;0;0;888;747;0;0;0;0;747;0;746;0;-1;4;742;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49660;'L';'01';'002';'047';888;0;0;0;0;888;747;0;0;0;0;747;0;747;0;0;4;743;888;747;0;747;0;4;743;0;0;0;0;0;0;0
49661;'J';'01';'002';'048';926;0;0;0;0;926;772;0;0;0;0;772;0;770;0;-2;1;769;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49662;'L';'01';'002';'048';926;0;0;0;0;926;772;0;0;0;0;772;0;771;0;0;2;769;926;772;0;771;-1;2;769;0;0;0;0;0;0;0
49663;'J';'01';'002';'049';885;0;0;0;0;885;713;0;0;0;0;713;0;712;0;-1;2;710;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49664;'L';'01';'002';'049';885;0;0;0;0;885;713;0;0;0;0;713;0;711;0;0;1;710;882;710;0;708;-2;1;707;3;3;0;3;0;0;3
49665;'J';'01';'002';'050';815;0;0;0;0;815;661;0;0;0;0;661;0;661;0;0;5;656;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49666;'L';'01';'002';'050';815;0;0;0;0;815;661;0;0;0;0;661;0;661;0;0;4;657;813;659;0;659;0;4;655;2;2;0;2;0;0;2
49667;'J';'01';'002';'051';772;0;0;0;0;772;650;0;0;0;0;650;0;647;0;-3;2;645;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49668;'L';'01';'002';'051';772;0;0;0;0;772;651;0;0;0;0;651;0;650;0;0;4;646;769;648;0;648;0;3;645;3;3;0;2;0;1;1
49669;'J';'01';'002';'052';680;0;0;0;0;680;543;0;0;0;0;543;0;543;0;0;3;540;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49670;'L';'01';'002';'052';680;0;0;0;0;680;543;0;0;0;0;543;0;543;0;0;3;540;679;542;0;542;0;3;539;1;1;0;1;0;0;1
49671;'J';'01';'002';'053';710;0;0;0;0;710;602;0;0;0;0;602;0;602;0;0;5;597;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49672;'L';'01';'002';'053';710;0;0;0;0;710;602;0;0;0;0;602;0;602;0;0;12;590;709;601;0;602;1;12;590;1;1;0;0;0;0;0
49673;'J';'01';'002';'054';1075;0;0;0;0;1075;852;0;0;0;0;852;0;852;0;0;9;843;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49674;'L';'01';'002';'054';1075;0;0;0;0;1075;852;0;0;0;0;852;0;851;0;0;9;842;1072;851;0;850;-1;9;841;3;1;0;1;0;0;1
49675;'J';'01';'002';'055';908;0;0;0;0;908;728;0;0;0;0;728;2;726;0;-2;8;718;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49676;'L';'01';'002';'055';908;0;0;0;0;908;728;0;0;0;0;728;2;726;0;0;3;723;905;726;2;724;-2;3;721;3;2;0;2;0;0;2
49677;'J';'01';'002';'056';798;0;0;0;0;798;637;0;0;0;0;637;0;635;0;-2;3;632;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49678;'L';'01';'002';'056';798;0;0;0;0;798;637;0;0;0;0;637;0;637;0;0;3;634;796;635;0;635;0;3;632;2;2;0;2;0;0;2
49679;'J';'01';'002';'057';715;0;0;0;0;715;607;0;0;0;0;607;0;606;0;-1;4;602;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49680;'L';'01';'002';'057';715;0;0;0;0;715;607;0;0;0;0;607;0;606;0;0;1;605;714;606;0;606;0;1;605;1;1;0;0;0;0;0
49681;'J';'01';'002';'058';929;0;0;0;0;929;718;0;0;0;0;718;0;716;0;-2;7;709;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49682;'L';'01';'002';'058';929;0;0;0;0;929;718;0;0;0;0;718;0;716;0;0;2;714;927;716;0;715;-1;2;713;2;2;0;1;0;0;1
49683;'J';'01';'002';'059';788;0;0;0;0;788;651;0;0;0;0;651;0;650;0;-1;3;647;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49684;'L';'01';'002';'059';788;0;0;0;0;788;651;0;0;0;0;651;0;650;0;0;2;648;785;648;0;647;-1;1;646;3;3;0;3;0;1;2
50065;'J';'01';'002';'060';789;0;0;0;0;789;626;0;0;0;0;626;0;625;0;-1;9;616;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50066;'L';'01';'002';'060';789;0;0;0;0;789;626;0;0;0;0;626;0;626;0;0;7;619;788;625;0;625;0;7;618;1;1;0;1;0;0;1
50067;'J';'01';'002';'061';894;0;0;0;0;894;747;0;0;0;0;747;0;747;0;0;4;743;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50068;'L';'01';'002';'061';894;0;0;0;0;894;747;0;0;0;0;747;0;747;0;0;1;746;894;747;0;747;0;1;746;0;0;0;0;0;0;0
50069;'J';'01';'002';'062';663;0;0;0;0;663;519;0;0;0;0;519;0;517;0;-2;6;511;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50070;'L';'01';'002';'062';663;0;0;0;0;663;519;0;0;0;0;519;0;517;0;0;5;512;663;519;0;517;-2;5;512;0;0;0;0;0;0;0
50071;'J';'01';'002';'063';807;0;0;0;0;807;655;0;0;0;0;655;1;653;0;-2;3;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50072;'L';'01';'002';'063';807;0;0;0;0;807;655;0;0;0;0;655;0;655;0;0;2;653;805;655;0;655;0;2;653;2;0;0;0;0;0;0
50073;'J';'01';'002';'064';878;0;0;0;0;878;697;0;0;0;0;697;0;696;0;-1;7;689;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50074;'L';'01';'002';'064';878;0;0;0;0;878;697;0;0;0;0;697;0;694;0;0;3;691;876;695;0;693;-2;3;690;2;2;0;1;0;0;1
50075;'J';'01';'002';'065';905;0;0;0;0;905;694;0;0;0;0;694;0;693;0;-1;6;687;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50076;'L';'01';'002';'065';905;0;0;0;0;905;694;0;0;0;0;694;0;694;0;0;2;692;905;694;0;694;0;2;692;0;0;0;0;0;0;0
50077;'J';'01';'002';'066';1002;0;0;0;0;1002;785;0;0;0;0;785;0;782;0;-3;9;773;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50078;'L';'01';'002';'066';1002;0;0;0;0;1002;785;0;0;0;0;785;0;785;0;0;3;782;995;779;0;779;0;3;776;7;6;0;6;0;0;6
50079;'J';'01';'002';'067';860;0;0;0;0;860;627;0;0;0;0;627;0;624;0;-3;6;618;0;0;0;0;0;0;0;0;0;0;0;0;0;0
