jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
60422;5;7;'55';'31';'0';'31';'0';'14';'17'
60424;5;7;'16';'10';'0';'10';'0';'6';'4'
60426;5;7;'5';'0';'0';'0';'0';'0';'0'
60430;9;5;'1';'0';'0';'0';'0';'0';'0'
60432;9;5;'1';'1';'0';'1';'0';'0';'1'
60436;5;7;'7';'5';'0';'5';'0';'1';'4'
60438;5;7;'6';'5';'0';'5';'0';'1';'4'
60440;5;7;'9';'1';'0';'1';'0';'0';'1'
60442;5;7;'20';'7';'0';'7';'0';'4';'3'
60444;5;7;'1';'1';'0';'1';'0';'1';'0'
60446;5;7;'2';'1';'0';'1';'0';'0';'1'
60452;5;7;'6';'2';'0';'2';'0';'1';'1'
60454;5;7;'10';'6';'0';'6';'0';'2';'4'
60466;5;7;'4';'2';'0';'2';'0';'1';'1'
60468;5;7;'14';'6';'0';'6';'0';'3';'3'
60470;5;7;'2';'1';'0';'1';'0';'1';'0'
60472;5;7;'6';'0';'0';'0';'0';'0';'0'
60476;5;7;'31';'19';'0';'19';'0';'11';'8'
60478;5;7;'12';'7';'0';'7';'0';'2';'5'
60482;5;7;'2';'1';'0';'1';'0';'0';'1'
60484;5;7;'1';'0';'0';'0';'0';'0';'0'
60486;5;7;'1';'0';'0';'0';'0';'0';'0'
60486;9;5;'1';'0';'0';'0';'0';'0';'0'
60488;5;7;'13';'1';'0';'1';'0';'1';'0'
60490;5;7;'5';'2';'0';'2';'0';'1';'1'
60492;5;7;'2';'0';'0';'0';'0';'0';'0'
60494;9;5;'1';'1';'0';'1';'0';'0';'1'
60496;5;7;'1';'0';'0';'0';'0';'0';'0'
60498;5;7;'1';'0';'0';'0';'0';'0';'0'
60502;5;7;'4';'0';'0';'0';'0';'0';'0'
60504;5;7;'0';'0';'0';'0';'0';'0';'0'
60504;9;5;'0';'0';'0';'0';'0';'0';'0'
60506;5;7;'2';'0';'0';'0';'0';'0';'0'
60508;5;7;'3';'0';'0';'0';'0';'0';'0'
60510;9;5;'1';'1';'0';'1';'0';'0';'1'
60512;5;7;'5';'2';'0';'2';'0';'0';'2'
60514;5;7;'2';'2';'0';'2';'0';'1';'1'
60514;9;5;'1';'1';'0';'1';'0';'0';'1'
60518;9;5;'1';'1';'0';'1';'0';'0';'1'
60520;5;7;'2';'0';'0';'0';'0';'0';'0'
60526;5;7;'2';'0';'0';'0';'0';'0';'0'
60528;9;5;'13';'10';'0';'10';'0';'0';'10'
60532;5;7;'2';'1';'0';'1';'0';'1';'0'
60546;5;7;'1';'0';'0';'0';'0';'0';'0'
60554;6;3;'3';'3';'0';'3';'0';'1';'2'
60554;9;5;'105';'85';'0';'85';'0';'9';'76'
60556;6;3;'16';'15';'0';'15';'0';'0';'15'
60556;9;5;'8';'8';'0';'8';'0';'0';'8'
60564;9;5;'2';'2';'0';'2';'0';'0';'2'
60568;5;7;'15';'9';'0';'0';'-9';'0';'0'
60568;9;5;'1';'1';'0';'0';'-1';'0';'0'
60570;5;7;'18';'6';'0';'6';'0';'4';'2'
60572;9;5;'1';'1';'0';'1';'0';'0';'1'
60576;6;3;'12';'11';'0';'11';'0';'0';'11'
60578;6;3;'3';'2';'0';'2';'0';'0';'2'
60584;9;5;'41';'38';'0';'38';'0';'0';'38'
60586;9;5;'25';'23';'0';'23';'0';'6';'17'
60588;9;5;'22';'20';'0';'20';'0';'1';'19'
60590;9;5;'39';'35';'0';'34';'-1';'3';'31'
60592;9;5;'25';'18';'0';'18';'0';'4';'14'
60596;9;5;'1';'1';'0';'1';'0';'0';'1'
60604;9;5;'2';'2';'0';'2';'0';'0';'2'
60606;9;5;'2';'2';'0';'2';'0';'0';'2'
60616;9;5;'3';'3';'0';'3';'0';'0';'3'
60618;9;5;'2';'2';'0';'2';'0';'0';'2'
60620;9;5;'2';'2';'0';'2';'0';'0';'2'
60622;9;5;'1';'1';'0';'1';'0';'0';'1'
60624;9;5;'1';'0';'0';'0';'0';'0';'0'
60628;5;7;'1';'0';'0';'0';'0';'0';'0'
60628;9;5;'1';'1';'0';'1';'0';'0';'1'
60630;9;5;'1';'1';'0';'1';'0';'0';'1'
60634;9;5;'1';'1';'0';'1';'0';'0';'1'
60638;9;5;'1';'1';'0';'1';'0';'0';'1'
60640;9;5;'3';'2';'0';'2';'0';'0';'2'
60644;9;5;'1';'1';'0';'1';'0';'0';'1'
60646;9;5;'3';'2';'0';'2';'0';'1';'1'
60648;6;3;'1';'1';'0';'1';'0';'0';'1'
60648;9;5;'2';'2';'0';'2';'0';'0';'2'
60650;26;12;'1';'1';'0';'1';'0';'0';'1'
60652;9;5;'2';'2';'0';'2';'0';'0';'2'
60656;9;5;'1';'1';'0';'1';'0';'0';'1'
60658;9;5;'3';'3';'0';'3';'0';'0';'3'
60684;6;3;'1';'0';'0';'0';'0';'0';'0'
60688;6;3;'1';'1';'0';'1';'0';'0';'1'
60698;5;7;'1';'0';'0';'0';'0';'0';'0'
60706;9;5;'3';'3';'0';'3';'0';'0';'3'
60708;9;5;'1';'1';'0';'1';'0';'0';'1'
60718;5;7;'1';'1';'0';'1';'0';'0';'1'
60724;6;3;'3';'3';'0';'3';'0';'0';'3'
60726;5;7;'53';'31';'0';'31';'0';'10';'21'
60726;6;3;'5';'5';'0';'5';'0';'0';'5'
60728;5;7;'6';'3';'0';'3';'0';'1';'2'
60728;6;3;'3';'2';'0';'2';'0';'0';'2'
60750;6;3;'2';'2';'0';'2';'0';'0';'2'
60756;5;7;'3';'1';'0';'1';'0';'0';'1'
60762;6;3;'1';'1';'0';'1';'0';'0';'1'
60764;9;5;'1';'1';'0';'1';'0';'0';'1'
60766;6;3;'1';'1';'0';'1';'0';'0';'1'
60770;9;5;'1';'1';'0';'1';'0';'0';'1'
60774;5;7;'0';'0';'0';'0';'0';'0';'0'
60774;6;3;'0';'0';'0';'0';'0';'0';'0'
60774;9;5;'0';'0';'0';'0';'0';'0';'0'
60778;9;5;'1';'1';'0';'1';'0';'0';'1'
60780;6;3;'1';'1';'0';'1';'0';'0';'1'
60788;6;3;'1';'1';'0';'1';'0';'0';'1'
60796;6;3;'0';'0';'0';'0';'0';'0';'0'
60796;9;5;'0';'0';'0';'0';'0';'0';'0'
60796;26;12;'0';'0';'0';'0';'0';'0';'0'
60798;9;5;'2';'2';'0';'2';'0';'0';'2'
60800;9;5;'5';'4';'0';'4';'0';'0';'4'
60802;6;3;'2';'0';'0';'0';'0';'0';'0'
60802;9;5;'3';'2';'0';'2';'0';'0';'2'
60804;9;5;'3';'3';'0';'3';'0';'0';'3'
60806;9;5;'4';'4';'0';'4';'0';'0';'4'
60808;6;3;'2';'2';'0';'2';'0';'0';'2'
60808;9;5;'2';'2';'0';'2';'0';'0';'2'
60822;9;5;'2';'2';'0';'2';'0';'0';'2'
60824;9;5;'4';'4';'0';'4';'0';'0';'4'
60826;9;5;'4';'4';'0';'4';'0';'1';'3'
60844;9;5;'1';'1';'0';'1';'0';'0';'1'
60848;9;5;'1';'1';'0';'1';'0';'0';'1'
60852;9;5;'1';'1';'0';'1';'0';'0';'1'
60866;5;7;'1';'0';'0';'0';'0';'0';'0'
60866;6;3;'2';'2';'0';'2';'0';'0';'2'
60876;5;7;'1';'1';'0';'1';'0';'1';'0'
60884;9;5;'22';'19';'0';'19';'0';'1';'18'
60886;9;5;'51';'47';'0';'47';'0';'4';'43'
60888;9;5;'17';'14';'0';'14';'0';'0';'14'
60890;9;5;'1';'1';'0';'1';'0';'1';'0'
60894;9;5;'1';'1';'0';'1';'0';'0';'1'
60906;5;7;'1';'0';'0';'0';'0';'0';'0'
60922;9;5;'1';'1';'0';'1';'0';'0';'1'
60926;9;5;'1';'1';'0';'1';'0';'0';'1'
60928;9;5;'1';'1';'0';'1';'0';'0';'1'
60932;6;3;'1';'1';'0';'1';'0';'0';'1'
60944;6;3;'1';'1';'0';'1';'0';'0';'1'
60946;6;3;'2';'2';'0';'2';'0';'0';'2'
60948;9;5;'1';'1';'0';'1';'0';'0';'1'
60958;6;3;'1';'1';'0';'1';'0';'0';'1'
60960;9;5;'1';'1';'0';'1';'0';'0';'1'
61026;6;3;'3';'3';'0';'3';'0';'0';'3'
61046;17;1;'1';'1';'0';'1';'0';'0';'1'
61068;6;3;'2';'2';'0';'2';'0';'0';'2'
61080;5;7;'12';'0';'0';'0';'0';'0';'0'
61080;9;5;'6';'6';'0';'5';'-1';'0';'5'
61082;5;7;'7';'2';'0';'2';'0';'2';'0'
61082;9;5;'3';'3';'0';'3';'0';'0';'3'
61082;17;1;'1';'1';'0';'1';'0';'0';'1'
61084;5;7;'6';'3';'0';'3';'0';'1';'2'
61084;9;5;'3';'0';'0';'0';'0';'0';'0'
61084;17;1;'2';'2';'0';'2';'0';'1';'1'
61086;6;3;'1';'1';'0';'1';'0';'0';'1'
61086;9;5;'5';'4';'0';'4';'0';'0';'4'
61086;17;1;'1';'1';'0';'1';'0';'0';'1'
61088;5;7;'1';'0';'0';'0';'0';'0';'0'
61088;9;5;'10';'9';'0';'9';'0';'0';'9'
61088;17;1;'2';'2';'0';'2';'0';'0';'2'
61090;5;7;'10';'4';'0';'4';'0';'1';'3'
61090;9;5;'2';'2';'0';'2';'0';'0';'2'
61090;17;1;'1';'1';'0';'1';'0';'1';'0'
61092;5;7;'3';'0';'0';'0';'0';'0';'0'
61092;9;5;'4';'4';'0';'4';'0';'0';'4'
61092;17;1;'1';'1';'0';'1';'0';'1';'0'
61094;5;7;'1';'1';'0';'0';'-1';'0';'0'
61094;9;5;'6';'5';'0';'5';'0';'0';'5'
61096;5;7;'3';'0';'0';'0';'0';'0';'0'
61096;9;5;'17';'16';'0';'16';'0';'1';'15'
61096;17;1;'1';'1';'0';'1';'0';'1';'0'
61098;5;7;'1';'0';'0';'0';'0';'0';'0'
61098;9;5;'2';'2';'0';'2';'0';'0';'2'
61100;5;7;'2';'1';'0';'1';'0';'0';'1'
61100;6;3;'2';'2';'0';'2';'0';'0';'2'
61100;9;5;'1';'1';'0';'1';'0';'1';'0'
61102;9;5;'7';'7';'0';'7';'0';'1';'6'
61104;5;7;'4';'1';'0';'1';'0';'0';'1'
61104;6;3;'1';'1';'0';'1';'0';'0';'1'
61104;9;5;'7';'7';'0';'7';'0';'3';'4'
61106;5;7;'1';'1';'0';'1';'0';'0';'1'
61106;9;5;'7';'7';'0';'7';'0';'1';'6'
61108;5;7;'2';'2';'0';'2';'0';'0';'2'
61108;9;5;'1';'1';'0';'1';'0';'0';'1'
61110;5;7;'1';'0';'0';'0';'0';'0';'0'
61110;9;5;'1';'0';'0';'0';'0';'0';'0'
61112;6;3;'1';'1';'0';'1';'0';'0';'1'
61112;9;5;'8';'4';'0';'4';'0';'0';'4'
61114;5;7;'7';'2';'0';'2';'0';'2';'0'
61114;9;5;'4';'4';'0';'4';'0';'1';'3'
61114;17;1;'1';'1';'0';'1';'0';'1';'0'
61116;5;7;'4';'2';'0';'2';'0';'0';'2'
61116;9;5;'15';'13';'0';'13';'0';'1';'12'
61116;17;1;'2';'2';'0';'2';'0';'2';'0'
61118;5;7;'3';'0';'0';'0';'0';'0';'0'
61118;9;5;'5';'4';'0';'4';'0';'0';'4'
61118;26;12;'1';'1';'0';'1';'0';'0';'1'
61120;2;2;'1';'1';'0';'1';'0';'0';'1'
61120;6;3;'2';'2';'0';'2';'0';'0';'2'
61120;9;5;'8';'4';'0';'4';'0';'0';'4'
61122;6;3;'1';'1';'0';'1';'0';'0';'1'
61122;9;5;'3';'2';'0';'2';'0';'0';'2'
61124;5;7;'2';'1';'0';'1';'0';'1';'0'
61124;9;5;'8';'8';'0';'8';'0';'0';'8'
61126;5;7;'1';'1';'0';'1';'0';'0';'1'
61126;9;5;'7';'4';'0';'4';'0';'1';'3'
61126;17;1;'1';'1';'0';'1';'0';'0';'1'
61128;5;7;'3';'2';'0';'2';'0';'0';'2'
61128;9;5;'2';'2';'0';'2';'0';'0';'2'
61130;5;7;'0';'0';'0';'0';'0';'0';'0'
61130;6;3;'0';'0';'0';'0';'0';'0';'0'
61130;9;5;'0';'0';'0';'0';'0';'0';'0'
61130;17;1;'0';'0';'0';'0';'0';'0';'0'
61132;9;5;'8';'7';'0';'7';'0';'0';'7'
61132;17;1;'1';'1';'0';'1';'0';'1';'0'
