jfid;jlid;nemz;pa;pf;po;pk;pl;pm;pn
42506;7;4;'1';'1';'0';'1';'0';'0';'1'
42510;6;3;'1';'1';'0';'1';'0';'0';'1'
42510;9;5;'1';'1';'0';'1';'0';'0';'1'
42514;17;1;'1';'0';'0';'0';'0';'0';'0'
42514;33;6;'1';'1';'0';'1';'0';'0';'1'
42516;9;5;'1';'1';'0';'1';'0';'0';'1'
42518;3;9;'2';'1';'0';'1';'0';'0';'1'
42518;9;5;'1';'1';'0';'1';'0';'0';'1'
42520;13;13;'1';'1';'0';'1';'0';'0';'1'
42526;5;7;'2';'1';'0';'0';'-1';'0';'0'
42526;33;6;'1';'1';'0';'1';'0';'0';'1'
42530;2;2;'0';'0';'0';'0';'0';'0';'0'
42530;5;7;'0';'0';'0';'0';'0';'0';'0'
42530;9;5;'0';'0';'0';'0';'0';'0';'0'
42530;13;13;'0';'0';'0';'0';'0';'0';'0'
42534;9;5;'2';'2';'0';'2';'0';'0';'2'
42536;5;7;'1';'1';'0';'1';'0';'1';'0'
42536;9;5;'2';'2';'0';'2';'0';'0';'2'
42547;5;7;'1';'0';'0';'0';'0';'0';'0'
42550;5;7;'16';'3';'0';'3';'0';'2';'1'
42555;3;9;'21';'18';'0';'17';'-1';'1';'16'
42555;10;11;'3';'3';'0';'3';'0';'1';'2'
42559;5;7;'1';'0';'0';'0';'0';'0';'0'
42561;5;7;'1';'1';'0';'1';'0';'0';'1'
42563;5;7;'1';'0';'0';'0';'0';'0';'0'
42568;5;7;'4';'2';'0';'2';'0';'1';'1'
42570;5;7;'11';'6';'0';'5';'-1';'1';'4'
42570;9;5;'1';'1';'0';'1';'0';'0';'1'
42572;5;7;'17';'6';'0';'6';'0';'1';'5'
42574;5;7;'14';'10';'0';'9';'-1';'5';'4'
42576;5;7;'19';'8';'0';'8';'0';'3';'5'
42578;5;7;'3';'0';'0';'0';'0';'0';'0'
42582;5;7;'1';'1';'0';'1';'0';'1';'0'
42588;5;7;'5';'2';'0';'2';'0';'0';'2'
42590;5;7;'22';'19';'1';'19';'0';'2';'17'
42592;5;7;'21';'11';'0';'11';'0';'1';'10'
42594;9;5;'246';'212';'0';'212';'0';'30';'182'
42598;10;11;'12';'11';'0';'11';'0';'0';'11'
42602;5;7;'16';'7';'0';'7';'0';'3';'4'
42604;5;7;'4';'0';'0';'0';'0';'0';'0'
42605;9;5;'2';'2';'0';'2';'0';'0';'2'
42607;5;7;'6';'4';'0';'4';'0';'2';'2'
42609;5;7;'1';'0';'0';'0';'0';'0';'0'
42609;9;5;'2';'1';'0';'1';'0';'0';'1'
42612;5;7;'1';'1';'0';'1';'0';'0';'1'
42612;9;5;'6';'4';'0';'4';'0';'0';'4'
42614;5;7;'23';'10';'0';'10';'0';'5';'5'
42614;13;13;'1';'1';'0';'1';'0';'0';'1'
42626;5;7;'2';'2';'0';'2';'0';'0';'2'
42628;5;7;'11';'6';'0';'6';'0';'3';'3'
42631;5;7;'8';'5';'0';'5';'0';'4';'1'
42634;5;7;'1';'0';'0';'0';'0';'0';'0'
42642;13;13;'1';'1';'1';'0';'-1';'0';'0'
42650;3;9;'6';'6';'0';'6';'0';'0';'6'
42652;3;9;'19';'19';'0';'19';'0';'3';'16'
42654;5;7;'1';'0';'0';'0';'0';'0';'0'
42658;5;7;'2';'0';'0';'0';'0';'0';'0'
42658;7;4;'1';'1';'0';'1';'0';'0';'1'
42658;9;5;'4';'2';'0';'2';'0';'0';'2'
42660;9;5;'1';'0';'0';'0';'0';'0';'0'
42662;3;9;'1';'1';'0';'1';'0';'1';'0'
42662;5;7;'2';'1';'0';'1';'0';'0';'1'
42668;13;13;'1';'1';'0';'1';'0';'0';'1'
42670;9;5;'2';'2';'0';'1';'-1';'1';'0'
42670;10;11;'1';'1';'0';'1';'0';'1';'0'
42672;3;9;'1';'1';'0';'1';'0';'0';'1'
42672;7;4;'4';'3';'0';'3';'0';'0';'3'
42672;17;1;'1';'1';'0';'1';'0';'0';'1'
42676;7;4;'1';'1';'0';'1';'0';'0';'1'
42678;3;9;'10';'9';'0';'9';'0';'7';'2'
42678;5;7;'1';'0';'0';'0';'0';'0';'0'
42678;10;11;'1';'1';'0';'1';'0';'0';'1'
42680;3;9;'1';'1';'0';'1';'0';'1';'0'
42682;9;5;'2';'2';'0';'2';'0';'0';'2'
42686;7;4;'4';'3';'0';'3';'0';'0';'3'
42688;17;1;'2';'2';'0';'2';'0';'0';'2'
42690;13;13;'1';'1';'0';'1';'0';'0';'1'
42692;3;9;'1';'1';'0';'1';'0';'1';'0'
42694;9;5;'5';'5';'0';'5';'0';'0';'5'
42696;9;5;'1';'1';'0';'1';'0';'0';'1'
42700;13;13;'1';'0';'0';'0';'0';'0';'0'
42704;9;5;'2';'2';'0';'1';'-1';'0';'1'
42706;9;5;'1';'1';'0';'1';'0';'0';'1'
42706;13;13;'1';'1';'0';'1';'0';'0';'1'
42706;19;8;'1';'0';'0';'0';'0';'0';'0'
42712;10;11;'1';'0';'0';'0';'0';'0';'0'
42714;6;3;'2';'2';'0';'2';'0';'0';'2'
42714;9;5;'2';'2';'0';'2';'0';'0';'2'
42714;10;11;'3';'3';'0';'3';'0';'0';'3'
42716;5;7;'2';'0';'0';'0';'0';'0';'0'
42718;10;11;'1';'1';'0';'1';'0';'0';'1'
42722;5;7;'1';'1';'0';'1';'0';'0';'1'
42724;9;5;'1';'1';'0';'1';'0';'0';'1'
42726;5;7;'1';'1';'0';'0';'-1';'0';'0'
42726;9;5;'1';'1';'0';'1';'0';'0';'1'
42728;3;9;'1';'0';'0';'0';'0';'0';'0'
42728;9;5;'1';'1';'0';'1';'0';'0';'1'
42728;13;13;'4';'4';'0';'4';'0';'3';'1'
42730;5;7;'1';'0';'0';'0';'0';'0';'0'
42730;9;5;'1';'1';'0';'1';'0';'0';'1'
42734;9;5;'1';'0';'0';'0';'0';'0';'0'
42738;9;5;'1';'1';'0';'1';'0';'0';'1'
42740;9;5;'1';'0';'0';'0';'0';'0';'0'
42742;9;5;'1';'1';'0';'1';'0';'0';'1'
42742;13;13;'1';'1';'0';'1';'0';'0';'1'
42744;9;5;'1';'1';'0';'1';'0';'0';'1'
42744;17;1;'1';'1';'0';'1';'0';'0';'1'
42748;9;5;'1';'1';'0';'1';'0';'0';'1'
42754;3;9;'1';'1';'0';'1';'0';'0';'1'
42754;9;5;'1';'0';'0';'0';'0';'0';'0'
42754;13;13;'1';'1';'0';'1';'0';'0';'1'
42756;33;6;'1';'0';'0';'0';'0';'0';'0'
42758;9;5;'1';'1';'0';'1';'0';'0';'1'
42760;9;5;'2';'2';'0';'2';'0';'0';'2'
42762;13;13;'1';'0';'0';'0';'0';'0';'0'
42766;2;2;'3';'3';'0';'3';'0';'0';'3'
42766;9;5;'2';'2';'0';'2';'0';'0';'2'
42768;9;5;'1';'1';'0';'1';'0';'0';'1'
42772;9;5;'2';'2';'0';'2';'0';'0';'2'
42776;5;7;'1';'0';'0';'0';'0';'0';'0'
42776;9;5;'2';'1';'0';'1';'0';'0';'1'
42778;3;9;'0';'0';'0';'0';'0';'0';'0'
42778;6;3;'0';'0';'0';'0';'0';'0';'0'
42778;9;5;'0';'0';'0';'0';'0';'0';'0'
42778;33;6;'0';'0';'0';'0';'0';'0';'0'
42780;10;11;'1';'1';'0';'1';'0';'0';'1'
42782;10;11;'1';'1';'0';'1';'0';'0';'1'
42782;19;8;'1';'1';'0';'1';'0';'0';'1'
42782;26;12;'1';'1';'0';'1';'0';'0';'1'
42784;17;1;'1';'1';'0';'1';'0';'1';'0'
42788;9;5;'3';'3';'0';'3';'0';'0';'3'
42790;9;5;'10';'9';'0';'9';'0';'5';'4'
42790;10;11;'1';'1';'0';'1';'0';'0';'1'
42792;9;5;'1';'1';'0';'1';'0';'0';'1'
42792;13;13;'1';'1';'0';'1';'0';'0';'1'
42794;9;5;'2';'1';'0';'1';'0';'1';'0'
42796;9;5;'8';'7';'0';'7';'0';'0';'7'
42800;5;7;'1';'0';'0';'0';'0';'0';'0'
42800;9;5;'1';'1';'0';'1';'0';'0';'1'
42802;9;5;'1';'1';'0';'1';'0';'0';'1'
42802;19;8;'1';'0';'0';'0';'0';'0';'0'
42804;9;5;'2';'2';'0';'2';'0';'1';'1'
42806;5;7;'1';'1';'0';'1';'0';'0';'1'
42810;9;5;'3';'3';'0';'3';'0';'0';'3'
42812;17;1;'2';'2';'0';'2';'0';'0';'2'
42814;9;5;'2';'2';'0';'2';'0';'0';'2'
42816;9;5;'3';'2';'0';'2';'0';'0';'2'
42818;9;5;'1';'1';'0';'1';'0';'0';'1'
42820;9;5;'1';'1';'0';'1';'0';'0';'1'
42822;9;5;'3';'3';'0';'3';'0';'0';'3'
42824;9;5;'1';'1';'0';'1';'0';'0';'1'
42826;5;7;'2';'0';'0';'0';'0';'0';'0'
42826;9;5;'4';'1';'0';'1';'0';'0';'1'
42828;9;5;'1';'1';'0';'1';'0';'0';'1'
42830;5;7;'0';'0';'0';'0';'0';'0';'0'
42830;9;5;'0';'0';'0';'0';'0';'0';'0'
42832;9;5;'9';'9';'0';'9';'0';'1';'8'
42834;9;5;'1';'0';'0';'0';'0';'0';'0'
42836;9;5;'6';'5';'0';'5';'0';'2';'3'
42836;17;1;'4';'4';'0';'4';'0';'0';'4'
42838;5;7;'2';'0';'0';'0';'0';'0';'0'
42838;9;5;'3';'3';'0';'3';'0';'0';'3'
42844;10;11;'1';'0';'0';'0';'0';'0';'0'
42846;9;5;'2';'2';'0';'2';'0';'1';'1'
42848;9;5;'1';'1';'0';'1';'0';'1';'0'
42850;9;5;'1';'1';'0';'0';'-1';'0';'0'
42852;5;7;'2';'1';'0';'1';'0';'0';'1'
42854;5;7;'2';'0';'0';'0';'0';'0';'0'
42856;5;7;'6';'1';'0';'1';'0';'1';'0'
42856;9;5;'1';'1';'0';'1';'0';'0';'1'
42856;33;6;'2';'2';'0';'2';'0';'0';'2'
42858;33;6;'1';'1';'0';'1';'0';'0';'1'
42862;5;7;'2';'0';'0';'0';'0';'0';'0'
42864;9;5;'1';'1';'0';'1';'0';'0';'1'
42864;17;1;'1';'1';'0';'1';'0';'0';'1'
42868;9;5;'1';'1';'0';'1';'0';'0';'1'
42868;33;6;'1';'1';'0';'0';'-1';'0';'0'
42870;5;7;'6';'3';'0';'3';'0';'1';'2'
42870;9;5;'1';'1';'0';'1';'0';'0';'1'
42870;19;8;'1';'0';'0';'0';'0';'0';'0'
42870;33;6;'1';'0';'0';'0';'0';'0';'0'
42872;9;5;'4';'4';'0';'4';'0';'0';'4'
42874;9;5;'1';'1';'0';'1';'0';'1';'0'
42876;5;7;'14';'2';'0';'2';'0';'2';'0'
42876;9;5;'1';'0';'0';'0';'0';'0';'0'
42876;13;13;'1';'1';'0';'1';'0';'0';'1'
42876;19;8;'1';'0';'0';'0';'0';'0';'0'
42878;9;5;'1';'1';'0';'1';'0';'0';'1'
42880;9;5;'3';'1';'0';'1';'0';'0';'1'
42880;33;6;'1';'0';'0';'0';'0';'0';'0'
42882;5;7;'7';'1';'0';'1';'0';'0';'1'
42882;9;5;'1';'0';'0';'0';'0';'0';'0'
42882;19;8;'1';'0';'0';'0';'0';'0';'0'
42884;5;7;'1';'0';'0';'0';'0';'0';'0'
42886;2;2;'3';'3';'0';'3';'0';'1';'2'
42886;5;7;'6';'1';'0';'1';'0';'1';'0'
42886;6;3;'2';'2';'0';'2';'0';'0';'2'
42892;5;7;'1';'0';'0';'0';'0';'0';'0'
42896;3;9;'2';'2';'0';'2';'0';'1';'1'
42896;9;5;'1';'1';'0';'1';'0';'0';'1'
42896;17;1;'2';'1';'0';'1';'0';'0';'1'
42898;9;5;'1';'1';'0';'1';'0';'0';'1'
42900;6;3;'1';'1';'0';'1';'0';'0';'1'
42900;9;5;'1';'1';'0';'1';'0';'0';'1'
42902;5;7;'1';'1';'0';'1';'0';'0';'1'
42902;33;6;'1';'1';'0';'1';'0';'0';'1'
42906;9;5;'2';'2';'0';'2';'0';'0';'2'
42908;9;5;'2';'2';'0';'2';'0';'0';'2'
42910;5;7;'2';'1';'0';'1';'0';'1';'0'
42914;3;9;'1';'1';'0';'2';'1';'2';'0'
42922;9;5;'1';'0';'0';'0';'0';'0';'0'
42924;5;7;'1';'1';'0';'1';'0';'0';'1'
42928;33;6;'1';'0';'0';'0';'0';'0';'0'
42930;9;5;'1';'1';'0';'1';'0';'0';'1'
42934;33;6;'2';'2';'0';'2';'0';'0';'2'
42937;5;7;'1';'0';'0';'0';'0';'0';'0'
42939;5;7;'1';'0';'0';'0';'0';'0';'0'
42946;5;7;'1';'1';'0';'1';'0';'0';'1'
42950;33;6;'1';'0';'0';'0';'0';'0';'0'
42960;33;6;'2';'2';'0';'2';'0';'0';'2'
42965;9;5;'1';'1';'0';'1';'0';'0';'1'
42976;5;7;'1';'1';'0';'1';'0';'0';'1'
42976;9;5;'1';'1';'0';'1';'0';'0';'1'
42985;5;7;'1';'1';'0';'1';'0';'0';'1'
42985;9;5;'10';'9';'0';'9';'0';'0';'9'
42987;9;5;'7';'7';'0';'7';'0';'0';'7'
42992;5;7;'4';'1';'0';'1';'0';'0';'1'
42994;5;7;'4';'0';'0';'0';'0';'0';'0'
42996;9;5;'167';'134';'0';'134';'0';'7';'127'
42998;9;5;'155';'133';'0';'132';'-1';'7';'125'
43000;6;3;'1';'0';'0';'0';'0';'0';'0'
43026;9;5;'1';'1';'0';'1';'0';'0';'1'
43028;5;7;'11';'6';'0';'6';'0';'1';'5'
43030;5;7;'16';'9';'0';'9';'0';'4';'5'
43032;5;7;'3';'0';'0';'0';'0';'0';'0'
43032;9;5;'1';'1';'0';'1';'0';'0';'1'
43034;5;7;'7';'2';'0';'2';'0';'1';'1'
43036;5;7;'24';'13';'0';'13';'0';'8';'5'
43036;9;5;'1';'1';'0';'1';'0';'0';'1'
43038;5;7;'27';'15';'0';'14';'-1';'5';'9'
43042;9;5;'18';'15';'0';'15';'0';'3';'12'
43044;9;5;'19';'17';'0';'17';'0';'1';'16'
43046;9;5;'32';'25';'0';'24';'-1';'8';'16'
43050;3;9;'1';'1';'0';'1';'0';'0';'1'
43052;5;7;'42';'11';'0';'11';'0';'3';'8'
43054;7;4;'4';'3';'0';'3';'0';'0';'3'
43054;9;5;'13';'12';'0';'12';'0';'0';'12'
43056;9;5;'1';'1';'0';'1';'0';'0';'1'
43058;5;7;'3';'0';'0';'0';'0';'0';'0'
43058;9;5;'1';'1';'0';'1';'0';'0';'1'
43060;5;7;'2';'2';'0';'2';'0';'0';'2'
43060;7;4;'2';'2';'0';'2';'0';'0';'2'
43060;9;5;'3';'3';'0';'3';'0';'0';'3'
43062;5;7;'1';'1';'0';'1';'0';'0';'1'
43062;7;4;'4';'4';'0';'4';'0';'0';'4'
43062;9;5;'2';'2';'0';'2';'0';'0';'2'
43064;5;7;'1';'1';'0';'1';'0';'0';'1'
43066;9;5;'3';'3';'0';'3';'0';'0';'3'
43074;5;7;'16';'13';'0';'13';'0';'4';'9'
43078;5;7;'7';'2';'0';'2';'0';'0';'2'
43078;9;5;'5';'5';'0';'5';'0';'0';'5'
43080;9;5;'8';'8';'0';'8';'0';'1';'7'
43084;9;5;'5';'5';'0';'5';'0';'0';'5'
43086;5;7;'7';'1';'0';'1';'0';'0';'1'
43086;9;5;'1';'1';'0';'1';'0';'0';'1'
43088;3;9;'4';'4';'0';'4';'0';'1';'3'
43088;5;7;'10';'4';'0';'4';'0';'2';'2'
43088;9;5;'8';'8';'0';'8';'0';'1';'7'
43088;13;13;'1';'1';'0';'1';'0';'1';'0'
43090;3;9;'1';'1';'0';'1';'0';'0';'1'
43090;9;5;'9';'8';'0';'8';'0';'1';'7'
43092;9;5;'2';'2';'0';'2';'0';'0';'2'
43092;10;11;'1';'1';'0';'1';'0';'0';'1'
43094;3;9;'1';'1';'0';'1';'0';'0';'1'
43094;5;7;'2';'0';'0';'0';'0';'0';'0'
43094;9;5;'9';'8';'0';'8';'0';'0';'8'
43096;9;5;'13';'12';'0';'12';'0';'0';'12'
43098;3;9;'1';'1';'0';'1';'0';'0';'1'
43098;9;5;'5';'5';'0';'5';'0';'0';'5'
43100;5;7;'6';'1';'0';'1';'0';'1';'0'
43100;9;5;'5';'5';'0';'5';'0';'2';'3'
43102;9;5;'3';'2';'0';'0';'-2';'0';'0'
43104;5;7;'15';'8';'0';'8';'0';'4';'4'
43106;5;7;'43';'14';'0';'14';'0';'8';'6'
43108;3;9;'1';'1';'0';'1';'0';'1';'0'
43112;10;11;'2';'2';'0';'2';'0';'1';'1'
43114;5;7;'3';'1';'0';'1';'0';'0';'1'
43114;10;11;'2';'1';'0';'1';'0';'1';'0'
43116;10;11;'1';'1';'0';'1';'0';'0';'1'
43118;10;11;'20';'18';'0';'18';'0';'2';'16'
43120;9;5;'2';'2';'0';'2';'0';'0';'2'
43120;10;11;'4';'4';'0';'4';'0';'0';'4'
43122;3;9;'1';'1';'0';'1';'0';'0';'1'
43122;10;11;'1';'1';'0';'1';'0';'0';'1'
43124;3;9;'1';'1';'0';'1';'0';'0';'1'
43124;10;11;'1';'1';'0';'1';'0';'0';'1'
43128;9;5;'1';'1';'0';'1';'0';'0';'1'
43128;10;11;'3';'3';'0';'3';'0';'0';'3'
43130;3;9;'1';'0';'0';'0';'0';'0';'0'
43130;9;5;'1';'1';'0';'1';'0';'0';'1'
43130;10;11;'3';'3';'0';'3';'0';'1';'2'
43134;9;5;'2';'1';'0';'1';'0';'0';'1'
43136;9;5;'2';'2';'0';'2';'0';'0';'2'
43136;10;11;'7';'7';'0';'7';'0';'1';'6'
43138;3;9;'0';'0';'0';'0';'0';'0';'0'
43138;5;7;'0';'0';'0';'0';'0';'0';'0'
43138;9;5;'0';'0';'0';'0';'0';'0';'0'
43138;10;11;'0';'0';'0';'0';'0';'0';'0'
43140;9;5;'1';'1';'0';'1';'0';'0';'1'
43142;10;11;'3';'3';'0';'3';'0';'0';'3'
43142;33;6;'1';'0';'0';'0';'0';'0';'0'
43144;5;7;'1';'1';'0';'1';'0';'1';'0'
43144;9;5;'4';'4';'0';'4';'0';'0';'4'
43146;3;9;'2';'2';'0';'2';'0';'1';'1'
43146;5;7;'1';'0';'0';'0';'0';'0';'0'
43146;9;5;'1';'0';'0';'0';'0';'0';'0'
43146;10;11;'1';'1';'0';'1';'0';'0';'1'
43148;9;5;'75';'65';'0';'65';'0';'2';'63'
43149;5;7;'2';'1';'0';'1';'0';'0';'1'
43154;5;7;'2';'0';'0';'0';'0';'0';'0'
43156;5;7;'1';'0';'0';'0';'0';'0';'0'
43160;5;7;'1';'1';'0';'1';'0';'1';'0'
43162;5;7;'1';'1';'0';'1';'0';'0';'1'
43166;5;7;'17';'3';'0';'3';'0';'1';'2'
43168;5;7;'2';'1';'0';'1';'0';'0';'1'
43174;5;7;'6';'2';'0';'2';'0';'1';'1'
43178;2;2;'1';'1';'0';'1';'0';'0';'1'
43178;13;13;'1';'1';'0';'1';'0';'0';'1'
43180;3;9;'2';'0';'0';'0';'0';'0';'0'
43180;9;5;'4';'3';'0';'3';'0';'0';'3'
43182;33;6;'2';'2';'0';'2';'0';'1';'1'
43184;9;5;'3';'3';'0';'3';'0';'1';'2'
43186;2;2;'1';'1';'0';'1';'0';'0';'1'
43188;9;5;'1';'1';'0';'1';'0';'0';'1'
43192;2;2;'3';'3';'0';'2';'-1';'2';'0'
43192;5;7;'2';'2';'0';'2';'0';'2';'0'
43192;9;5;'1';'1';'0';'1';'0';'0';'1'
43194;9;5;'2';'1';'0';'1';'0';'0';'1'
43196;5;7;'0';'0';'0';'0';'0';'0';'0'
43196;7;4;'0';'0';'0';'0';'0';'0';'0'
43196;9;5;'0';'0';'0';'0';'0';'0';'0'
43198;9;5;'1';'1';'0';'1';'0';'1';'0'
43202;5;7;'1';'0';'0';'0';'0';'0';'0'
43202;9;5;'3';'3';'0';'3';'0';'0';'3'
43202;17;1;'2';'2';'0';'2';'0';'0';'2'
43204;9;5;'3';'3';'0';'3';'0';'0';'3'
43206;6;3;'1';'1';'0';'1';'0';'0';'1'
43206;9;5;'2';'1';'0';'1';'0';'0';'1'
43208;3;9;'2';'1';'0';'1';'0';'0';'1'
43208;9;5;'2';'2';'0';'2';'0';'0';'2'
43210;9;5;'2';'2';'0';'2';'0';'0';'2'
43212;9;5;'2';'1';'0';'1';'0';'0';'1'
43214;9;5;'7';'6';'0';'6';'0';'3';'3'
43216;6;3;'3';'3';'0';'3';'0';'0';'3'
43216;9;5;'2';'2';'0';'2';'0';'2';'0'
43216;11;10;'2';'2';'0';'2';'0';'0';'2'
43216;19;8;'1';'0';'0';'0';'0';'0';'0'
43218;2;2;'1';'0';'0';'0';'0';'0';'0'
43222;33;6;'1';'1';'0';'1';'0';'0';'1'
43226;9;5;'1';'0';'0';'0';'0';'0';'0'
43230;9;5;'2';'2';'0';'2';'0';'0';'2'
43230;17;1;'1';'1';'0';'1';'0';'0';'1'
43234;13;13;'1';'1';'0';'1';'0';'0';'1'
43236;7;4;'1';'1';'0';'1';'0';'0';'1'
43236;9;5;'3';'3';'0';'3';'0';'0';'3'
43238;5;7;'1';'0';'0';'0';'0';'0';'0'
43242;5;7;'1';'0';'0';'0';'0';'0';'0'
43246;5;7;'3';'0';'0';'0';'0';'0';'0'
43246;9;5;'2';'1';'0';'1';'0';'0';'1'
43246;13;13;'1';'0';'0';'0';'0';'0';'0'
43248;9;5;'1';'1';'0';'1';'0';'0';'1'
43248;13;13;'1';'1';'0';'1';'0';'1';'0'
43250;3;9;'2';'2';'0';'2';'0';'1';'1'
43250;5;7;'1';'1';'0';'1';'0';'0';'1'
43250;33;6;'1';'1';'0';'1';'0';'0';'1'
43252;9;5;'2';'2';'0';'2';'0';'1';'1'
43254;5;7;'1';'1';'0';'1';'0';'1';'0'
43254;9;5;'1';'1';'0';'1';'0';'0';'1'
43254;17;1;'1';'1';'0';'1';'0';'0';'1'
43256;9;5;'1';'1';'0';'1';'0';'0';'1'
43258;5;7;'1';'0';'0';'0';'0';'0';'0'
43258;9;5;'2';'2';'0';'2';'0';'0';'2'
43260;5;7;'3';'1';'0';'1';'0';'0';'1'
43260;9;5;'2';'2';'0';'2';'0';'0';'2'
43260;33;6;'1';'1';'0';'1';'0';'1';'0'
43264;3;9;'3';'3';'0';'3';'0';'0';'3'
43264;10;11;'1';'1';'0';'1';'0';'0';'1'
43266;5;7;'5';'2';'0';'2';'0';'1';'1'
43266;13;13;'1';'1';'0';'1';'0';'0';'1'
43268;5;7;'2';'1';'0';'1';'0';'1';'0'
43268;9;5;'1';'0';'0';'0';'0';'0';'0'
43268;17;1;'1';'0';'0';'0';'0';'0';'0'
43272;9;5;'1';'1';'0';'1';'0';'0';'1'
43274;9;5;'1';'1';'0';'1';'0';'0';'1'
43276;33;6;'3';'3';'0';'3';'0';'0';'3'
43278;3;9;'1';'1';'0';'1';'0';'1';'0'
43278;9;5;'1';'1';'0';'1';'0';'0';'1'
43278;19;8;'1';'0';'0';'0';'0';'0';'0'
43280;9;5;'3';'2';'0';'2';'0';'0';'2'
43282;2;2;'1';'1';'0';'0';'-1';'0';'0'
43282;7;4;'1';'1';'0';'1';'0';'0';'1'
43282;9;5;'1';'1';'0';'1';'0';'0';'1'
43282;17;1;'1';'1';'0';'1';'0';'0';'1'
43288;9;5;'1';'1';'0';'1';'0';'0';'1'
43290;5;7;'1';'1';'0';'1';'0';'1';'0'
43290;17;1;'1';'0';'0';'0';'0';'0';'0'
43292;33;6;'1';'1';'0';'1';'0';'0';'1'
43298;9;5;'3';'3';'0';'3';'0';'0';'3'
43298;17;1;'1';'1';'0';'1';'0';'0';'1'
43300;9;5;'1';'1';'0';'1';'0';'0';'1'
43300;33;6;'2';'2';'0';'0';'-2';'0';'0'
43302;7;4;'1';'1';'0';'1';'0';'0';'1'
43302;17;1;'1';'1';'0';'1';'0';'0';'1'
43304;6;3;'0';'0';'0';'0';'0';'0';'0'
43304;7;4;'0';'0';'0';'0';'0';'0';'0'
43304;9;5;'0';'0';'0';'0';'0';'0';'0'
43304;11;10;'0';'0';'0';'0';'0';'0';'0'
43304;13;13;'0';'0';'0';'0';'0';'0';'0'
43304;17;1;'0';'0';'0';'0';'0';'0';'0'
43306;11;10;'2';'2';'0';'2';'0';'0';'2'
43308;9;5;'1';'0';'0';'0';'0';'0';'0'
43310;3;9;'1';'1';'0';'1';'0';'0';'1'
43310;9;5;'1';'1';'0';'1';'0';'0';'1'
43310;13;13;'1';'0';'0';'0';'0';'0';'0'
43312;9;5;'1';'1';'0';'1';'0';'0';'1'
43314;2;2;'1';'1';'0';'1';'0';'0';'1'
43314;9;5;'1';'0';'0';'0';'0';'0';'0'
43316;9;5;'6';'5';'0';'5';'0';'2';'3'
43330;5;7;'2';'1';'0';'1';'0';'0';'1'
43330;13;13;'3';'2';'0';'2';'0';'0';'2'
43334;17;1;'1';'1';'0';'1';'0';'0';'1'
43336;5;7;'1';'0';'0';'0';'0';'0';'0'
43336;17;1;'2';'2';'0';'2';'0';'0';'2'
43338;9;5;'1';'1';'0';'1';'0';'0';'1'
43340;2;2;'1';'1';'0';'1';'0';'0';'1'
43340;5;7;'8';'0';'0';'0';'0';'0';'0'
43340;9;5;'1';'1';'0';'0';'-1';'0';'0'
43342;2;2;'1';'1';'0';'1';'0';'0';'1'
43346;5;7;'1';'1';'0';'1';'0';'0';'1'
43348;9;5;'2';'1';'0';'1';'0';'0';'1'
43348;17;1;'1';'1';'0';'1';'0';'0';'1'
43350;9;5;'2';'2';'0';'2';'0';'0';'2'
43352;9;5;'5';'5';'0';'5';'0';'0';'5'
43354;10;11;'1';'1';'0';'1';'0';'0';'1'
43356;9;5;'3';'3';'0';'3';'0';'0';'3'
43362;3;9;'1';'0';'0';'0';'0';'0';'0'
43364;9;5;'0';'0';'0';'0';'0';'0';'0'
43364;11;10;'0';'0';'0';'0';'0';'0';'0'
43366;9;5;'1';'0';'0';'0';'0';'0';'0'
43368;9;5;'2';'2';'0';'2';'0';'0';'2'
43368;33;6;'1';'1';'0';'1';'0';'0';'1'
43370;2;2;'3';'2';'0';'2';'0';'0';'2'
43370;9;5;'3';'3';'0';'3';'0';'0';'3'
43372;5;7;'2';'0';'0';'0';'0';'0';'0'
43374;2;2;'1';'1';'0';'1';'0';'0';'1'
43378;6;3;'1';'1';'0';'1';'0';'0';'1'
43380;9;5;'5';'5';'0';'5';'0';'0';'5'
43382;5;7;'1';'1';'0';'1';'0';'1';'0'
43382;6;3;'1';'1';'0';'0';'-1';'0';'0'
43382;9;5;'2';'2';'0';'2';'0';'0';'2'
43386;9;5;'7';'7';'0';'7';'0';'0';'7'
43388;9;5;'2';'2';'0';'2';'0';'0';'2'
43388;10;11;'1';'1';'0';'1';'0';'0';'1'
43388;13;13;'1';'1';'0';'1';'0';'0';'1'
43390;9;5;'4';'4';'0';'4';'0';'0';'4'
43392;6;3;'1';'1';'0';'1';'0';'0';'1'
43394;9;5;'2';'0';'0';'0';'0';'0';'0'
43396;9;5;'5';'5';'0';'5';'0';'0';'5'
43400;5;7;'1';'1';'0';'1';'0';'0';'1'
43400;9;5;'1';'1';'0';'1';'0';'0';'1'
43402;9;5;'1';'0';'0';'0';'0';'0';'0'
43404;9;5;'1';'1';'0';'1';'0';'0';'1'
43404;17;1;'1';'1';'0';'1';'0';'1';'0'
43406;9;5;'1';'0';'0';'0';'0';'0';'0'
43408;2;2;'1';'1';'0';'1';'0';'0';'1'
43408;9;5;'2';'2';'0';'2';'0';'0';'2'
43410;3;9;'2';'2';'0';'2';'0';'0';'2'
43410;9;5;'1';'0';'0';'0';'0';'0';'0'
43412;6;3;'1';'0';'0';'0';'0';'0';'0'
43412;17;1;'1';'1';'0';'1';'0';'0';'1'
43414;9;5;'2';'2';'0';'2';'0';'0';'2'
