szkod;szpntip;nemz;hnev1;hnev2;hnev3;tnev;rovid;allapot;tajaz
'1072';'P';;'CSALÁDOK PÁRTJA';;;'CSALÁDOK PÁRTJA';'CSP';1;'1506'
'1073';'P';;'SZOCIÁLDEMOKRATA PÁRT';;;'SZOCIÁLDEMOKRATA PÁRT';'SZDP';1;'0'
'1074';'P';;'A BAL - BALPÁRT';;;'A BAL - BALPÁRT';'A BAL';1;'558'
'1075';'P';;'PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT';;;'PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT';'PÁRBESZÉD';1;'559'
'1076';'P';;'LENDÜLETTEL  MAGYARORSZÁGÉRT';;;'LENDÜLETTEL  MAGYARORSZÁGÉRT';'LENDÜLETTEL';1;'560'
'1077';'P';;'MAGYARORSZÁGI MUNKÁSPÁRT 2006';'- EURÓPAI BALOLDAL';;'MAGYARORSZÁGI MUNKÁSPÁRT 2006  - EURÓPAI BALOLDAL';'EURÓPAI BALOLDAL';1;'561'
'1078';'P';;'EMBER AZ EMBEREKÉRT PÁRT';;;'EMBER AZ EMBEREKÉRT PÁRT';'EEP';1;'562'
'1079';'P';;'MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS';'TANULÓ EMBEREK PÁRTJA';;'MAGYARORSZÁGON ÉLŐ DOLGOZÓ ÉS TANULÓ EMBEREK PÁRTJA';'MEDETE PÁRT';1;'0'
'1080';'P';;'OPRE ROMA - CIGÁNY DEMOKRATA';'NÉPPÁRT';;'OPRE ROMA - CIGÁNY DEMOKRATA NÉPPÁRT';'OPRE ROMA';1;'563'
'1081';'P';;'MINDENKOR A MAGYAROKÉRT';'MOZGALOM';;'MINDENKOR A MAGYAROKÉRT MOZGALOM';'MMM';1;'564'
'1082';'P';;'NÉP OLDALI PÁRT';;;'NÉP OLDALI PÁRT';'NOP';1;'0'
'1083';'P';;'DEMOKRATÁK PÁRTJA';;;'DEMOKRATÁK PÁRTJA';'DEMOKRATÁK';1;'0'
'1084';'P';;'A MAGYAR VÁLLALKOZÓK ÉS';'MUNKAADÓK PÁRTJA';;'A MAGYAR VÁLLALKOZÓK ÉS MUNKAADÓK PÁRTJA';'MVMP';1;'0'
'1085';'P';;'ELÉGEDETT';'MAGYARORSZÁGÉRT';'MOZGALOM';'ELÉGEDETT MAGYARORSZÁGÉRT MOZGALOM';'EMMO';1;'565'
'1086';'P';;'SZENT GYÖRGY SZÖVETSÉG';'SZVITEK ATTILA IMRE PÁRTJA';;'SZENT GYÖRGY SZÖVETSÉG SZVITEK ATTILA IMRE PÁRTJA';'SZVITEK ATTILA';4;'0'
'1087';'P';;'OXIGÉN PÁRT';;;'OXIGÉN PÁRT';'-';1;'0'
