tip;id;sorsz;szkod
'J';3802;1;1016
'J';3802;2;1024
'J';3805;1;1016
'J';3805;2;1024
'J';3806;1;1016
'J';3806;2;1024
'J';3807;1;1064
'J';3808;1;1016
'J';3808;2;1024
'J';3809;1;1016
'J';3809;2;1024
'J';3810;1;1016
'J';3810;2;1024
'J';3811;1;1016
'J';3811;2;1024
'J';3812;1;1016
'J';3812;2;1024
'J';3813;1;1016
'J';3813;2;1024
'J';3814;1;1016
'J';3814;2;1024
'J';3815;1;1009
'J';3815;2;1075
'J';3816;1;1016
'J';3816;2;1024
'J';3817;1;1016
'J';3817;2;1024
'J';3818;1;1016
'J';3818;2;1024
'J';3819;1;1016
'J';3819;2;1024
'J';3820;1;1064
'J';3821;1;1016
'J';3821;2;1024
'J';3822;1;1016
'J';3822;2;1024
'J';3823;1;1016
'J';3823;2;1024
'J';3825;1;1016
'J';3825;2;1024
'J';3826;1;1016
'J';3826;2;1024
'J';3827;1;1016
'J';3827;2;1024
'J';3828;1;1016
'J';3828;2;1024
'J';3829;1;1016
'J';3829;2;1024
'J';3830;1;1016
'J';3830;2;1024
'J';3831;1;1016
'J';3831;2;1024
'J';3832;1;1016
'J';3832;2;1024
'J';3833;1;1016
'J';3833;2;1024
'J';3834;1;1016
'J';3834;2;1024
'J';3835;1;1016
'J';3835;2;1024
'J';3836;1;1016
'J';3836;2;1024
'J';3837;1;1064
'J';3838;1;1016
'J';3838;2;1024
'J';3839;1;1016
'J';3839;2;1024
'J';3840;1;1016
'J';3840;2;1024
'J';3841;1;1016
'J';3841;2;1024
'J';3842;1;1016
'J';3842;2;1024
'J';3843;1;1016
'J';3843;2;1024
'J';3844;1;1016
'J';3844;2;1024
'J';3845;1;1016
'J';3845;2;1024
'J';3846;1;1016
'J';3846;2;1024
'J';3847;1;1016
'J';3847;2;1024
'J';3848;1;1064
'J';3849;1;1016
'J';3849;2;1024
'J';3851;1;1016
'J';3851;2;1024
'J';3852;1;1016
'J';3852;2;1024
'J';3853;1;1016
'J';3853;2;1024
'J';3854;1;1016
'J';3854;2;1024
'J';3855;1;1016
'J';3855;2;1024
'J';3856;1;1016
'J';3856;2;1024
'J';3857;1;1016
'J';3857;2;1024
'J';3858;1;1016
'J';3858;2;1024
'J';3860;1;1016
'J';3860;2;1024
'J';3861;1;1009
'J';3861;2;1075
'J';3862;1;1016
'J';3862;2;1024
'J';3863;1;1016
'J';3863;2;1024
'J';3864;1;1016
'J';3864;2;1024
'J';3865;1;1016
'J';3865;2;1024
'J';3866;1;1016
'J';3866;2;1024
'J';3867;1;1016
'J';3867;2;1024
'J';3868;1;1016
'J';3868;2;1024
'J';3869;1;1016
'J';3869;2;1024
'J';3870;1;1016
'J';3870;2;1024
'J';3871;1;1009
'J';3871;2;1075
'J';3872;1;1016
'J';3872;2;1024
'J';3873;1;1016
'J';3873;2;1024
'J';3874;1;1016
'J';3874;2;1024
'J';3875;1;1016
'J';3875;2;1024
'J';3876;1;1016
'J';3876;2;1024
'J';3877;1;1016
'J';3877;2;1024
'J';3878;1;1016
'J';3878;2;1024
'J';3879;1;1016
'J';3879;2;1024
'J';3880;1;1016
'J';3880;2;1024
'J';3881;1;1016
'J';3881;2;1024
'J';3882;1;1016
'J';3882;2;1024
'J';3883;1;1016
'J';3883;2;1024
'J';3884;1;1016
'J';3884;2;1024
'J';3885;1;1016
'J';3885;2;1024
'J';3887;1;1016
'J';3887;2;1024
'J';3888;1;1016
'J';3888;2;1024
'J';3889;1;1016
'J';3889;2;1024
'J';3890;1;1016
'J';3890;2;1024
'J';3891;1;1016
'J';3891;2;1024
'J';3892;1;1016
'J';3892;2;1024
'J';3893;1;1009
'J';3893;2;1075
'J';3894;1;1016
'J';3894;2;1024
'J';3897;1;1016
'J';3897;2;1024
'J';3898;1;1016
'J';3898;2;1024
'J';3899;1;1016
'J';3899;2;1024
'J';3900;1;1016
'J';3900;2;1024
'J';3901;1;1016
'J';3901;2;1024
'J';3902;1;1016
'J';3902;2;1024
'J';3903;1;1016
'J';3903;2;1024
'J';3904;1;1016
'J';3904;2;1024
'J';3905;1;1016
'J';3905;2;1024
'J';3914;1;1016
'J';3914;2;1024
'J';3917;1;1016
'J';3917;2;1024
'J';3918;1;1016
'J';3918;2;1024
'J';3919;1;1016
'J';3919;2;1024
'J';3920;1;1016
'J';3920;2;1024
'J';3921;1;1016
'J';3921;2;1024
'J';3923;1;1016
'J';3923;2;1024
'J';3924;1;1012
'J';3925;1;1016
'J';3925;2;1024
'J';3926;1;1016
'J';3926;2;1024
'J';3927;1;1009
'J';3927;2;1075
'J';3928;1;1009
'J';3928;2;1075
'J';3929;1;1016
'J';3929;2;1024
'J';3930;1;1009
'J';3930;2;1075
'J';3931;1;1009
'J';3931;2;1075
'J';3933;1;1016
'J';3933;2;1024
'J';3934;1;1032
'J';3935;1;1016
'J';3935;2;1024
'J';3936;1;1005
'J';3938;1;1009
'J';3938;2;1075
'J';3939;1;1009
'J';3939;2;1075
'J';3940;1;1009
'J';3940;2;1075
'J';3941;1;1064
'J';3942;1;1050
'J';3943;1;1009
'J';3943;2;1075
'J';3944;1;1016
'J';3944;2;1024
'J';3945;1;1016
'J';3945;2;1024
'J';3946;1;1009
'J';3946;2;1075
'J';3947;1;1009
'J';3947;2;1075
'J';3948;1;1009
'J';3948;2;1075
'J';3949;1;1009
'J';3949;2;1075
'J';3950;1;1064
'J';3951;1;1009
'J';3951;2;1075
'J';3952;1;1009
'J';3952;2;1075
'J';3953;1;1009
'J';3953;2;1075
'J';3954;1;1009
'J';3954;2;1075
'J';3955;1;1009
'J';3955;2;1075
'J';3956;1;1009
'J';3956;2;1075
'J';3957;1;1009
'J';3957;2;1075
'J';3958;1;1016
'J';3958;2;1024
'J';3959;1;1016
'J';3959;2;1024
'J';3960;1;1064
'J';3962;1;1101
'J';3963;1;1009
'J';3963;2;1075
'J';3964;1;1009
'J';3964;2;1075
'J';3965;1;1009
'J';3965;2;1075
'J';3966;1;1009
'J';3966;2;1075
'J';3967;1;1009
'J';3967;2;1075
'J';3968;1;1064
'J';3969;1;1071
'J';3971;1;1009
'J';3971;2;1075
'J';3972;1;1064
'J';3976;1;1047
'J';3977;1;1047
'J';3980;1;1064
'J';3981;1;1009
'J';3981;2;1075
'J';3982;1;1064
'J';3983;1;1033
'J';3986;1;1047
'J';3987;1;1072
'J';3988;1;1064
'J';3989;1;1047
'J';3990;1;1047
'J';3991;1;1047
'J';3992;1;1016
'J';3992;2;1024
'J';3993;1;1026
'J';3994;1;1047
'J';3995;1;1047
'J';3996;1;1047
'J';3997;1;1009
'J';3997;2;1075
'J';3998;1;1009
'J';3998;2;1075
'J';3999;1;1047
'J';4000;1;1064
'J';4001;1;1047
'J';4002;1;1047
'J';4003;1;1050
'J';4004;1;1064
'J';4006;1;1016
'J';4006;2;1024
'J';4007;1;1064
'J';4008;1;1047
'J';4009;1;1070
'J';4010;1;1011
'J';4011;1;1047
'J';4012;1;1027
'J';4013;1;1047
'J';4014;1;1047
'J';4015;1;1009
'J';4015;2;1075
'J';4016;1;1047
'J';4017;1;1064
'J';4018;1;1101
'J';4019;1;1047
'J';4020;1;1009
'J';4020;2;1075
'J';4021;1;1011
'J';4022;1;1064
'J';4023;1;1044
'J';4024;1;1044
'J';4025;1;1009
'J';4025;2;1075
'J';4026;1;1047
'J';4027;1;1044
'J';4028;1;1037
'J';4030;1;1044
'J';4031;1;1055
'J';4032;1;1047
'J';4033;1;1101
'J';4034;1;1022
'J';4035;1;1009
'J';4035;2;1075
'J';4036;1;1047
'J';4037;1;1025
'J';4038;1;1047
'J';4039;1;1095
'J';4040;1;1064
'J';4041;1;1064
'J';4042;1;1009
'J';4042;2;1075
'J';4043;1;1064
'J';4044;1;1064
'J';4045;1;1009
'J';4045;2;1075
'J';4046;1;1096
'J';4047;1;1050
'J';4048;1;1079
'J';4049;1;1047
'J';4050;1;1101
'J';4051;1;1036
'J';4052;1;1009
'J';4052;2;1075
'J';4054;1;1047
'J';4055;1;1044
'J';4056;1;1018
'J';4057;1;1047
'J';4058;1;1055
'J';4059;1;1064
'J';4060;1;1047
'J';4062;1;1047
'J';4063;1;1064
'J';4064;1;1064
'J';4065;1;1005
'J';4066;1;1070
'J';4067;1;1039
'J';4068;1;1076
'J';4069;1;1010
'J';4070;1;1022
'J';4071;1;1047
'J';4072;1;1047
'J';4073;1;1069
'J';4074;1;1096
'J';4075;1;1018
'J';4076;1;1047
'J';4077;1;1040
'J';4078;1;1064
'J';4079;1;1005
'J';4081;1;1066
