sfid;oszint;sfmaz;sfevk;valtip;forr;jogi;eredm;a;b;c;d;e;f;ie;ilis;ilev;j;ke;klis;m;n;jojkv;feldar;levell;levszl;eid
40002;1;'10';'01';'J';0;'N';1;79492;0;0;0;79492;56069;0;0;0;56069;56026;0;543;55483;97;'98.98';'0';0;3826
40003;1;'10';'02';'J';0;'N';1;75909;0;0;0;75909;53720;0;0;0;53720;53684;0;758;52926;121;'99.18';'0';0;3958
40004;1;'10';'03';'J';0;'N';1;78863;0;0;0;78863;53030;0;0;0;53030;52985;0;560;52425;97;'98.98';'0';0;3827
40005;1;'11';'01';'J';0;'N';1;76714;0;0;0;76714;53325;0;0;0;53325;53289;0;367;52922;100;'99.01';'0';0;3835
40006;1;'11';'02';'J';0;'N';1;70098;0;0;0;70098;46289;0;0;0;46289;46253;0;603;45650;82;'98.8';'0';0;3818
40007;1;'11';'03';'J';0;'N';1;74734;0;0;0;74734;46877;0;0;0;46877;46825;0;885;45940;90;'98.9';'0';0;3813
40008;1;'11';'04';'J';0;'N';1;73256;0;0;0;73256;46883;0;0;0;46883;46833;0;730;46103;96;'98.97';'0';0;3839
40009;1;'12';'01';'J';0;'N';1;78398;0;0;0;78398;54597;0;0;0;54597;54531;0;339;54192;91;'98.91';'0';0;3902
40010;1;'12';'02';'J';0;'N';1;79981;0;0;0;79981;55818;0;0;0;55818;55797;0;407;55390;97;'98.98';'0';0;3867
40011;1;'12';'03';'J';0;'N';1;80362;0;0;0;80362;55158;0;0;0;55158;55127;0;449;54678;107;'99.07';'0';0;3836
40012;1;'13';'01';'J';0;'N';1;76235;0;0;0;76235;50100;0;0;0;50100;50057;0;651;49406;121;'99.18';'0';0;3892
40013;1;'13';'02';'J';0;'N';1;77275;0;0;0;77275;52532;0;0;0;52532;52434;0;507;51927;130;'99.24';'0';0;3901
40014;1;'14';'01';'J';0;'N';1;79607;0;0;0;79607;59413;0;0;0;59413;59343;0;402;58941;82;'98.8';'0';0;3847
40015;1;'14';'02';'J';0;'N';1;86599;0;0;0;86599;67795;0;0;0;67795;67621;0;615;67006;89;'98.89';'0';0;3959
40016;1;'14';'03';'J';0;'N';1;84323;0;0;0;84323;63884;0;0;0;63884;63804;0;515;63289;84;'98.82';'0';0;3891
40017;1;'14';'04';'J';0;'N';1;70735;0;0;0;70735;51611;0;0;0;51611;51562;0;607;50955;86;'98.85';'0';0;3881
40018;1;'14';'05';'J';0;'N';1;90089;0;0;0;90089;68380;0;0;0;68380;68338;0;813;67525;93;'98.94';'0';0;3806
40019;1;'14';'06';'J';0;'N';1;84858;0;0;0;84858;62682;0;0;0;62682;62623;0;688;61935;92;'98.92';'0';0;3830
40020;1;'14';'07';'J';0;'N';1;85364;0;0;0;85364;60171;0;0;0;60171;60098;0;836;59262;93;'98.94';'0';0;3898
40021;1;'14';'08';'J';0;'N';1;85648;0;0;0;85648;60505;0;0;0;60505;60428;0;475;59953;90;'98.9';'0';0;3842
40022;1;'14';'09';'J';0;'N';1;72759;0;0;0;72759;46249;0;0;0;46249;46244;0;695;45549;88;'98.88';'0';0;3855
40023;1;'14';'10';'J';0;'N';1;74583;0;0;0;74583;47714;0;0;0;47714;47677;0;402;47275;91;'98.91';'0';0;3900
40024;1;'14';'11';'J';0;'N';1;82815;0;0;0;82815;56747;0;0;0;56747;56707;0;572;56135;94;'98.95';'0';0;3857
40025;1;'14';'12';'J';0;'N';1;72540;0;0;0;72540;46838;0;0;0;46838;46837;0;765;46072;86;'98.85';'0';0;3944
40026;1;'15';'01';'J';0;'N';1;60331;0;0;0;60331;42080;0;0;0;42080;42048;0;444;41604;85;'98.84';'0';0;3890
40027;1;'15';'02';'J';0;'N';1;59206;0;0;0;59206;37646;0;0;0;37646;37585;0;581;37004;115;'99.14';'0';0;3862
40028;1;'15';'03';'J';0;'N';1;61021;0;0;0;61021;40419;0;0;0;40419;40395;0;635;39760;119;'99.17';'0';0;3899
40029;1;'15';'04';'J';0;'N';1;61733;0;0;0;61733;42154;0;0;0;42154;42135;0;346;41789;112;'99.12';'0';0;3905
40030;1;'16';'01';'J';0;'N';1;71044;0;0;0;71044;50519;0;0;0;50519;50463;0;511;49952;78;'98.73';'0';0;3885
40031;1;'16';'02';'J';0;'N';1;69578;0;0;0;69578;44515;0;0;0;44515;44460;0;680;43780;89;'98.89';'0';0;3884
40032;1;'16';'03';'J';0;'N';1;76584;0;0;0;76584;49818;0;0;0;49818;49777;0;636;49141;98;'98.99';'0';0;3829
40033;1;'16';'04';'J';0;'N';1;72646;0;0;0;72646;47166;0;0;0;47166;47121;0;892;46229;117;'99.15';'0';0;3805
40034;1;'16';'05';'J';0;'N';1;72793;0;0;0;72793;46780;0;0;0;46780;46741;0;1106;45635;95;'98.96';'0';0;3812
40035;1;'16';'06';'J';0;'N';1;70945;0;0;0;70945;46021;0;0;0;46021;45983;0;867;45116;87;'98.86';'0';0;3933
