sfid;oszint;sfmaz;sfevk;valtip;forr;jogi;eredm;a;b;c;d;e;f;ie;ilis;ilev;j;ke;klis;m;n;jojkv;feldar;levell;levszl;eid
39965;1;'03';'01';'J';0;'N';1;67996;0;0;0;67996;45182;0;0;0;45182;45161;0;515;44646;76;'98.7';'0';0;3878
39966;1;'03';'02';'J';0;'N';1;70007;0;0;0;70007;48688;0;0;0;48688;48650;0;352;48298;79;'98.75';'0';0;3873
39967;1;'03';'03';'J';0;'N';1;65111;0;0;0;65111;44383;0;0;0;44383;44340;0;373;43967;88;'98.88';'0';0;3828
39968;1;'03';'04';'J';0;'N';1;70674;0;0;0;70674;46670;0;0;0;46670;46653;0;414;46239;90;'98.9';'0';0;3894
39969;1;'03';'05';'J';0;'N';1;68166;0;0;0;68166;43928;0;0;0;43928;43909;0;593;43316;93;'98.94';'0';0;3853
39970;1;'03';'06';'J';0;'N';1;64746;0;0;0;64746;42003;0;0;0;42003;41948;0;404;41544;79;'98.75';'0';0;3851
39971;1;'04';'01';'J';0;'N';1;68176;0;0;0;68176;47439;0;0;0;47439;47381;0;622;46759;99;'99';'0';0;3817
39972;1;'04';'02';'J';0;'N';1;68801;0;0;0;68801;44526;0;0;0;44526;44494;0;696;43798;96;'98.97';'0';0;3863
39973;1;'04';'03';'J';0;'N';1;67972;0;0;0;67972;44115;0;0;0;44115;44075;0;608;43467;88;'98.88';'0';0;3923
39974;1;'04';'04';'J';0;'N';1;72534;0;0;0;72534;47658;0;0;0;47658;47646;0;762;46884;111;'99.11';'0';0;3810
39975;1;'05';'01';'J';0;'N';1;72743;0;0;0;72743;50718;0;0;0;50718;50668;0;371;50297;91;'98.91';'0';0;3844
39976;1;'05';'02';'J';0;'N';1;71252;0;0;0;71252;48616;0;0;0;48616;48565;0;439;48126;92;'98.92';'0';0;3840
39977;1;'05';'03';'J';0;'N';1;71831;0;0;0;71831;41488;0;0;0;41488;41472;0;767;40705;131;'99.24';'0';0;3929
39978;1;'05';'04';'J';0;'N';1;74408;0;0;0;74408;46961;0;0;0;46961;46907;0;748;46159;133;'99.25';'0';0;3926
39979;1;'05';'05';'J';0;'N';1;73499;0;0;0;73499;45605;0;0;0;45605;45580;0;911;44669;151;'99.34';'0';0;3925
39980;1;'05';'06';'J';0;'N';1;75559;0;0;0;75559;49886;0;0;0;49886;49843;0;725;49118;109;'99.09';'0';0;3879
39981;1;'05';'07';'J';0;'N';1;74039;0;0;0;74039;50472;0;0;0;50472;50448;0;497;49951;101;'99.02';'0';0;3917
39982;1;'06';'01';'J';0;'N';1;79985;0;0;0;79985;55935;0;0;0;55935;55864;0;358;55506;69;'98.57';'0';0;4834
39983;1;'06';'02';'J';0;'N';1;83553;0;0;0;83553;58451;0;0;0;58451;58402;0;469;57933;86;'98.85';'0';0;3819
39984;1;'06';'03';'J';0;'N';1;80232;0;0;0;80232;53863;0;0;0;53863;53827;0;920;52907;118;'99.16';'0';0;3860
39985;1;'06';'04';'J';0;'N';1;77790;0;0;0;77790;55514;0;0;0;55514;55458;0;440;55018;108;'99.08';'0';0;3919
39986;1;'07';'01';'J';0;'N';1;60433;0;0;0;60433;45648;0;0;0;45648;45568;0;382;45186;73;'98.65';'0';0;3872
39987;1;'07';'02';'J';0;'N';1;67967;0;0;0;67967;49290;0;0;0;49290;49228;0;409;48819;88;'98.88';'0';0;3832
39988;1;'07';'03';'J';0;'N';1;70559;0;0;0;70559;51444;0;0;0;51444;51400;0;334;51066;85;'98.84';'0';0;3888
39989;1;'07';'04';'J';0;'N';1;65761;0;0;0;65761;45188;0;0;0;45188;45141;0;407;44734;79;'98.75';'0';0;3807
39990;1;'07';'05';'J';0;'N';1;66773;0;0;0;66773;41994;0;0;0;41994;41970;0;530;41440;101;'99.02';'0';0;4006
39991;1;'08';'01';'J';0;'N';1;64641;0;0;0;64641;46736;0;0;0;46736;46676;0;417;46259;66;'98.51';'0';0;3869
39992;1;'08';'02';'J';0;'N';1;70042;0;0;0;70042;50572;0;0;0;50572;50537;0;491;50046;83;'98.81';'0';0;3889
39993;1;'08';'03';'J';0;'N';1;64649;0;0;0;64649;47024;0;0;0;47024;47000;0;387;46613;103;'99.04';'0';0;3811
39994;1;'08';'04';'J';0;'N';1;72942;0;0;0;72942;54848;0;0;0;54848;54788;0;398;54390;93;'98.94';'0';0;3833
39995;1;'08';'05';'J';0;'N';1;73474;0;0;0;73474;51744;0;0;0;51744;51704;0;635;51069;101;'99.02';'0';0;3843
39996;1;'09';'01';'J';0;'N';1;65536;0;0;0;65536;46671;0;0;0;46671;46591;0;417;46174;59;'98.33';'0';0;3903
39997;1;'09';'02';'J';0;'N';1;71103;0;0;0;71103;47530;0;0;0;47530;47481;0;406;47075;60;'98.36';'0';0;3914
39998;1;'09';'03';'J';0;'N';1;75141;0;0;0;75141;46696;0;0;0;46696;46630;0;751;45879;82;'98.8';'0';0;3854
39999;1;'09';'04';'J';0;'N';1;66482;0;0;0;66482;41291;0;0;0;41291;41265;0;455;40810;91;'98.91';'0';0;3876
40000;1;'09';'05';'J';0;'N';1;68004;0;0;0;68004;43475;0;0;0;43475;43458;0;570;42888;85;'98.84';'0';0;3866
40001;1;'09';'06';'J';0;'N';1;68609;0;0;0;68609;43366;0;0;0;43366;43336;0;784;42552;83;'98.81';'0';0;3887
